pathway	description	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
ko00010	B_Glycolysis _ Gluconeogenesis	3471.57	6371.8955000000005	5755.278	7976.7157499999985	8771.74125	3705.835	3684.70875	4831.28825	2942.6892499999994	8822.13775	10329.93925	4267.3155	6641.515999999999	3975.77725	9470.698	3520.24875	2891.43475	6532.695250000002	7292.5695	7795.745749999999	5931.083999999999	2980.64025	5995.825000000002	7684.491250000001	10121.215	4016.770250000001	4097.6320000000005	3889.05975	6318.692999999999	8722.62775	5999.66175	6419.841999999999	5473.5202500000005	12401.736249999998	4984.423499999999	5461.745250000001	9511.2165	4316.53775	2007.85625	3556.2357500000007	8602.920750000001	6134.02525	3492.593250000001	7441.986999999999	4733.918750000001	4290.357500000001	12168.64225	6751.933499999999	7995.83475	4863.68375	3225.9177500000005	9357.20525	5349.650000000001	3524.66575	5524.78675	5730.812	3951.283	7088.081999999999	5005.7975	3341.5827500000005	5218.400249999999	6920.113500000001	1972.62475	5912.329000000001	4981.007750000001	12031.166	8337.72575	7811.153750000002	1703.122	4873.915999999999	5771.925	11449.48125	6282.46175	8328.4315	3491.6279999999992	2882.1592499999992	1577.16275	3680.459250000001	3978.178	10727.03525	4909.768249999999	3088.458	3928.80275	4157.471500000001	13374.99	6256.133250000001	3551.862	5170.952	5666.9712500000005	6741.0405	4468.003749999999	13066.398249999998	5749.703750000001	5666.767250000001	2460.254750000001	5724.856000000002	4900.707000000001	23407.750750000007	1953.00975	5725.633750000001	5573.4075	4384.788249999999	6771.0782500000005	5211.99125	6572.45725	11172.432750000002	2928.11925	2856.6220000000003	5773.474499999999	7047.708499999999	5721.787	1962.9935	5732.931000000001	2715.33425	7113.508499999999	4574.715	15971.338999999998	4122.97525	3720.85675	5436.860500000001	3397.3240000000005	4833.7185	1966.47225	4009.15425	9236.87975	4331.526250000001	2991.696999999999
ko00020	B_Citrate cycle (TCA cycle)	3369.193333333334	5536.872592592593	5561.263703703705	5769.697777777777	6114.6	3944.514814814815	4129.27037037037	4843.634444444445	2768.989259259259	6135.759999999999	11074.201851851853	3804.3340740740737	6461.04925925926	3575.067037037037	8246.014814814816	2750.027407407408	2276.8070370370374	7633.235925925925	8241.912962962964	7610.861481481481	5753.70148148148	3189.26925925926	6890.07037037037	6342.579259259261	10550.57888888889	3151.9322222222227	3597.868148148148	3739.312222222222	5429.624444444444	8216.50037037037	4612.457037037037	5672.697037037036	5593.088148148149	12097.570370370371	4760.386296296296	3168.570740740741	8870.326666666666	3432.6996296296293	2093.022962962963	3364.2485185185183	7201.2470370370365	5527.274074074075	3544.2403703703712	4710.664074074074	4254.871851851851	3705.972592592592	11715.166666666664	6017.385925925925	8087.054814814815	3544.493333333333	3519.5362962962968	8596.169629629629	5299.57	3323.035185185185	4770.091481481482	5865.697407407408	2885.0992592592584	5135.465555555556	4610.102962962962	3747.108518518519	6098.221851851851	6850.815555555556	1622.912962962963	4821.061111111111	5143.544814814814	11702.094814814816	6955.5770370370365	6932.164074074074	1489.164074074074	4779.432222222223	7022.879259259258	9452.815555555557	5634.467037037038	6606.983333333334	3126.002222222221	2187.1585185185186	1062.1807407407407	3411.9207407407407	3973.537407407408	9962.774814814817	6071.051481481482	2904.457037037037	3610.476296296296	4108.8907407407405	12055.865555555558	5320.677777777776	3661.5196296296303	5368.827037037037	4867.371111111112	6590.046666666667	4508.806296296296	17518.826666666664	5400.521481481482	5663.292962962964	2370.88037037037	5505.212962962963	3956.237777777779	16105.907407407409	1846.7185185185183	4824.694814814815	4976.673703703704	4076.194074074072	5678.07111111111	4655.972592592593	4844.204074074073	6418.097777777777	2719.088148148148	2321.715925925926	5168.8303703703705	6075.342592592591	4613.0	2015.409259259259	5242.501111111113	2507.522962962962	8358.975185185183	3686.7544444444447	15405.324444444444	3267.95074074074	3300.793703703704	3658.1444444444433	2663.7677777777776	4148.771851851853	1904.921851851852	4038.8496296296303	8488.265555555558	4230.992222222221	3234.185555555555
ko00030	B_Pentose phosphate pathway	4814.806363636363	8951.39	7760.115454545455	13093.669545454544	13902.811818181815	5366.595909090909	4592.176818181819	6630.841363636363	4323.826363636364	14421.889090909091	12830.835454545451	6677.211363636364	9701.877727272727	6096.3095454545455	14094.57727272727	5926.997727272727	4265.508636363636	9786.712272727273	10190.160454545456	10889.59818181818	9360.356818181815	3924.066818181818	8021.020454545455	11450.938636363637	15315.82818181818	6207.015909090911	6143.697272727274	5138.504090909091	9937.695	13234.936818181815	9125.097272727273	9526.405909090909	8309.391818181819	18526.104545454546	8342.622727272728	8813.166363636365	15388.752727272727	6621.462727272727	2830.725454545455	5260.994090909091	13547.582727272727	9139.330454545454	4929.849545454547	11505.349545454546	7510.572272727274	6227.285454545453	19351.603181818184	10483.171818181816	12299.849545454545	7886.077727272727	4284.678181818183	15270.017272727271	7769.0259090909085	5562.632272727274	8726.810454545455	7682.93590909091	6544.694999999999	10922.862727272726	7900.395	4771.626363636365	7564.110454545455	10220.899545454546	3066.208181818182	9468.72409090909	8473.226363636362	17220.315454545456	12757.734545454545	12094.264545454544	2463.701363636364	7830.053181818181	6957.224090909091	18328.545454545456	9533.723636363637	13176.760909090908	5085.646363636363	4467.596363636363	2481.476363636364	5494.537272727273	5503.727272727273	14516.683181818184	5488.635909090909	4422.421818181818	5584.404090909091	5511.782272727273	20294.63090909091	8621.506818181819	4871.764090909091	7270.479090909092	8674.699999999999	8747.26227272727	6350.181363636363	14049.397727272728	7661.432272727273	7557.630000000001	3370.3813636363643	8525.983181818183	8069.925	43917.50363636364	2900.456363636364	8852.682727272726	8107.4218181818205	6605.212272727272	9585.819545454546	8164.217272727274	10454.650909090908	19097.24772727273	4056.850454545455	4499.007727272728	9590.547727272728	10908.860909090909	7782.484545454546	2939.293181818182	8479.641363636365	4193.320909090909	8118.223636363637	6975.54681818182	24289.357727272727	6663.584090909091	5778.652272727271	8685.654545454545	5665.902727272729	7216.87318181818	2559.560909090909	6251.665909090909	12599.640909090913	6137.785454545455	3551.979545454546
ko00040	B_Pentose and glucuronate interconversions	2122.7392307692307	3415.8380769230766	4300.894615384616	5884.582692307692	6020.121538461539	2806.2853846153844	2326.6284615384616	3830.8061538461534	2166.395	5480.383846153845	5853.800384615384	2946.7511538461545	4718.805769230768	3161.3538461538465	5654.958076923076	2469.155	1763.4515384615386	4216.346153846154	6954.388076923076	6126.861153846155	4576.604230769231	2341.919230769231	4927.450769230769	4942.9376923076925	8731.891153846156	3479.814615384615	2565.543461538461	2872.133076923077	5811.671153846154	6084.097307692307	3516.8753846153845	3408.527307692307	4088.882307692308	11293.115384615385	4278.567307692308	3210.2592307692303	9779.817307692309	2682.395769230769	1274.8934615384617	2791.9896153846157	5215.713846153846	5479.443846153847	2203.840769230769	3602.0353846153844	3208.085	3252.5173076923074	10726.386923076923	4729.914615384615	6205.836538461538	3075.287307692308	2968.164230769231	8857.981153846154	4272.026153846155	2640.436153846153	4114.245384615385	5073.379615384615	2678.971538461539	4980.047692307693	3866.05	2969.842307692308	4265.516923076923	5755.06	1458.045769230769	4188.697307692308	3621.801538461538	8118.570769230771	5298.888076923078	6927.387692307693	1184.9065384615385	4763.328846153847	3175.8023076923077	8043.010769230769	5649.919615384615	5789.841923076923	2705.94	1730.690384615384	984.5707692307692	2786.172692307692	2978.033076923077	5842.085384615383	2306.0546153846158	2001.5042307692304	2823.761153846154	3466.5142307692304	8533.960769230769	5237.052307692307	2417.376538461539	4684.654615384616	3177.278076923076	4416.28	3297.673076923077	6874.964615384616	4728.877692307692	3316.165384615385	1868.9165384615385	3354.2096153846164	4388.566153846154	20488.951538461537	1325.7899999999995	3889.467692307692	3892.470769230769	3490.7515384615376	4530.550769230769	3888.254230769231	4501.549999999999	7976.138076923076	1655.231153846154	1861.2484615384617	5021.8934615384605	4647.170769230769	3489.208076923077	1833.4253846153845	4132.217307692308	2418.170384615385	3480.9461538461537	2873.5761538461543	11816.891538461536	3213.98423076923	2457.353461538461	3109.483461538461	2767.85923076923	3010.521538461539	1607.2384615384617	3766.722692307693	6270.605	3223.56	1890.836153846154
ko00051	B_Fructose and mannose metabolism	3321.4142424242427	5000.768484848484	5363.137272727274	6528.160909090908	8227.724848484848	3137.5533333333337	2455.6966666666667	4233.042121212122	2637.930909090909	8533.32393939394	6365.099090909092	4198.055151515152	6275.269696969697	3985.63	7720.540606060606	3472.479393939393	2470.001212121212	6821.816666666667	7813.10696969697	7868.169090909089	6380.179090909091	2728.6578787878784	6348.405757575758	6787.882121212122	10739.435454545455	3855.784545454545	3646.45303030303	3711.080909090909	7350.852727272727	7760.26909090909	5464.778787878789	5689.743030303029	5509.968484848487	13602.786969696968	5333.885454545454	5917.485151515152	10848.669696969697	4087.577272727273	1723.7624242424245	3434.7103030303037	7407.095151515151	6489.88909090909	3015.2427272727277	6385.8360606060605	4578.432121212121	4194.279393939394	13545.09818181818	6516.00606060606	8425.798484848487	4355.169393939394	3411.138787878787	8596.14909090909	5446.013333333333	3455.6387878787887	5652.178484848483	5883.607272727272	3435.8509090909088	6801.45090909091	5197.880303030303	3659.4257575757583	5313.334545454545	6455.226969696971	1910.3463636363635	5297.145757575758	3028.984545454545	11254.176666666666	7742.912727272727	8218.531515151517	1499.2372727272727	5868.336363636364	4085.81303030303	10293.812727272729	6603.013636363637	7894.47	3223.6690909090903	2657.200606060606	1536.9621212121212	3508.2118181818178	3721.713636363637	8891.731212121213	3226.340606060606	3039.2360606060606	3927.828484848485	4293.35787878788	11617.97212121212	6574.971515151516	2720.6169696969696	5221.9800000000005	4702.679090909092	5336.806363636364	4072.231818181819	8268.774242424242	5500.607575757577	4134.983333333334	2017.475151515152	5556.897575757575	5453.549090909091	30025.533333333336	1839.304848484848	5390.359090909091	5075.141212121212	4469.488484848485	5998.02303030303	5125.79909090909	5414.634848484849	11929.36	2451.2248484848483	2537.892727272727	6699.859696969696	6663.907575757576	5101.91	2119.231212121212	5463.899090909092	2856.6972727272723	4471.74393939394	4168.30696969697	15286.629696969696	4191.668484848485	3517.3772727272726	4480.82	3664.7172727272728	4509.449393939394	1934.0936363636367	4303.257272727273	7700.313636363638	4317.6196969696975	2294.2930303030303
ko00052	B_Galactose metabolism	2861.964827586208	4847.931034482759	6146.237241379311	4453.216206896552	9349.741724137932	3547.352068965517	2468.621724137931	4457.141724137931	2943.371724137931	10166.44655172414	7405.481724137932	4619.825517241379	6771.415172413794	4528.449655172413	8219.141034482758	3292.1134482758616	3099.5282758620688	5267.875172413795	8638.55068965517	7722.487241379311	6701.581034482758	3062.416551724138	6756.411379310345	8893.20172413793	12505.492413793105	5324.509310344827	4396.021034482758	4252.525862068965	6823.696896551724	9456.47724137931	5881.535862068966	5526.950689655173	5721.942068965517	15618.536206896551	5338.757586206897	6066.704827586207	12857.955862068966	4878.48	1741.0441379310346	3863.7786206896553	9248.303103448276	6890.866206896551	2948.565172413793	8710.513448275862	4989.63724137931	4694.201724137931	15138.85931034483	7084.933103448277	9174.827931034482	5351.381034482758	3960.9851724137934	8865.83827586207	5617.674827586207	3863.3	5702.940689655173	6536.108965517242	4286.638965517241	8060.523103448275	5894.83	3745.635517241379	4965.338275862069	6043.804827586206	2484.9906896551724	5207.4706896551725	4093.122413793104	12328.24275862069	8898.88103448276	9177.201379310343	1453.38	6121.238965517241	4127.720344827586	11852.85655172414	8067.094482758622	10303.499310344829	4010.0534482758617	2900.682758620689	1573.8420689655172	4184.442758620689	4383.240344827586	8801.512068965516	2436.8565517241377	2798.37	4116.527241379311	4611.153103448276	14371.71931034483	6649.929655172415	3152.262758620689	6302.308275862069	5228.017586206897	5982.3268965517245	4770.103448275862	6311.67724137931	6013.780689655173	3890.225862068965	2013.78	5757.236896551724	5564.939655172414	25723.87655172414	1958.018620689656	5962.585517241379	5352.986206896552	4967.111034482759	6907.698620689655	6296.199655172413	6646.288620689655	12201.229655172416	2423.3627586206894	3382.7910344827587	6934.544827586207	7180.55275862069	5892.358275862069	2004.2141379310349	6039.224137931034	3061.5606896551726	4268.566551724138	4341.791724137932	16628.88172413793	4404.972413793103	4225.151379310345	5666.020344827586	3983.662068965518	5142.736896551725	2069.8489655172416	5288.87172413793	9290.087931034484	5090.568620689655	1940.196896551724
ko00053	B_Ascorbate and aldarate metabolism	1138.8622222222225	898.4177777777778	2354.276666666666	3343.8683333333333	2418.9211111111117	894.3638888888888	1964.726111111111	1487.9455555555555	620.6394444444445	1754.2816666666668	3558.9133333333334	961.9072222222223	1488.8633333333337	1114.326111111111	1599.998888888889	817.3122222222222	472.2305555555556	2080.191666666667	2413.346666666667	2960.035	1498.346111111111	1011.8083333333332	2060.1277777777777	1370.0788888888887	2438.8700000000003	1483.0394444444444	814.9044444444444	1409.0822222222223	3194.197777777777	1740.5205555555556	1349.596111111111	1171.247222222222	1646.9716666666666	3692.318333333333	1350.8377777777778	1148.8905555555557	2802.5922222222225	1017.6066666666666	559.9566666666666	937.5983333333334	1564.3416666666667	2623.6911111111112	822.1016666666667	1009.0988888888888	920.8972222222224	1622.5555555555557	2963.7116666666666	1298.4566666666667	1812.3227777777777	873.1955555555555	1396.6194444444443	3547.9338888888888	1552.027222222222	666.0844444444444	1658.4572222222223	2671.485	681.4133333333333	1488.8844444444444	1067.9766666666667	1407.1850000000002	1012.438888888889	2060.9988888888893	494.066111111111	1336.2277777777776	1579.1444444444444	2990.5744444444445	1522.5994444444443	2786.3805555555555	556.2694444444444	1690.4233333333332	2237.0616666666665	2239.0494444444444	2065.858888888889	1432.1633333333332	1120.3283333333334	413.795	307.7722222222222	745.0994444444444	1172.863888888889	3197.1511111111117	1315.793888888889	1059.611111111111	1365.5794444444446	2020.0083333333332	2607.909444444444	3366.7133333333336	746.1611111111112	1796.4822222222222	1016.0622222222224	2016.9994444444444	1105.333888888889	4207.621111111111	2224.3116666666665	2258.6205555555557	659.9383333333333	845.4005555555555	1818.408888888889	5125.1194444444445	447.7155555555556	1037.316111111111	1655.3194444444446	1404.8177777777778	1937.0938888888888	1326.122222222222	1369.992777777778	3051.701111111111	591.06	457.62944444444446	1399.9155555555556	1670.9399999999998	1943.368333333333	650.7683333333334	1343.6038888888888	796.4872222222223	2481.8288888888887	1083.8233333333333	3303.583888888889	995.9794444444444	644.7938888888889	1133.2666666666669	902.1861111111112	807.2733333333333	902.27	940.33	3273.88	1303.9305555555557	1948.395
ko00061	D_Fatty acid biosynthesis	4196.621538461539	9931.499230769228	7854.144615384615	10137.086153846154	11695.380769230773	5700.323846153847	6736.619230769231	7919.396923076923	4576.324615384615	13035.976153846152	19067.322307692302	6706.288461538462	10322.386153846155	5841.328461538462	14718.13307692308	5363.054615384617	4499.99	9194.922307692308	8596.889230769231	10983.166153846156	8520.68076923077	4714.6853846153845	8137.413076923078	11553.440769230769	13342.435384615384	5071.3130769230775	6289.296923076923	5728.4784615384615	7834.085384615385	14279.93076923077	8477.383076923077	10005.696923076925	7899.399230769231	19050.18307692308	7332.241538461539	8114.524615384615	13911.75769230769	6158.543076923078	2711.4884615384613	5184.515384615385	14068.305384615383	7877.791538461539	5072.407692307693	10868.716923076923	7514.592307692308	5690.100769230769	16454.527692307693	9954.26923076923	11370.790769230767	7374.1023076923075	4052.226923076923	12954.50153846154	7694.292307692308	5499.247692307692	8242.16923076923	7607.071538461538	6210.846923076924	10851.423846153846	7686.076923076922	4843.143846153847	6932.116153846155	9982.53076923077	2981.526923076923	9917.355384615385	7993.680769230769	17712.57384615385	13685.615384615385	11505.026923076925	2596.0169230769234	6314.893076923077	10393.826923076924	18579.65307692308	9120.756153846152	13057.928461538462	5112.027692307693	4739.07	2432.923846153846	5546.104615384616	5849.287692307693	16586.15923076923	8571.813846153847	4533.442307692308	5551.717692307692	5053.2715384615385	21492.953846153847	7090.617692307692	5735.086923076923	7596.751538461539	9208.385384615383	10094.006923076922	6839.8130769230775	24727.045384615383	7442.846153846154	10625.489230769232	4008.912307692308	9972.66076923077	6423.184615384616	23537.126153846155	2830.776153846154	9220.887692307691	8568.48923076923	6138.596153846154	10016.902307692308	8073.165384615384	10910.164615384614	13868.62	5123.173846153846	4593.266923076923	7677.171538461538	11023.26	6625.629230769231	3120.469230769231	8564.333846153848	3758.379230769232	12570.420000000002	6754.189230769232	24278.67461538461	5919.279230769231	5652.152307692308	8705.496923076924	5055.586153846153	7010.681538461538	2626.2007692307693	6385.324615384616	15043.73230769231	5829.877692307693	5099.122307692307
ko00071	D_Fatty acid degradation	1201.5058333333334	1770.027916666667	3047.5625	3709.75625	3455.9191666666666	2128.3125	3513.4675	2974.76125	1239.1679166666668	2676.039583333333	7843.59375	1377.56875	2214.60125	1524.3850000000002	2859.593333333333	1146.6520833333334	795.24625	2239.17375	2800.206666666667	4368.361250000001	2009.5420833333333	1760.690833333333	2232.380000000001	2202.98625	3067.9300000000003	1404.2745833333336	1335.21125	1461.0550000000003	2794.7274999999995	2902.969583333333	1684.1716666666669	1759.4208333333336	2129.863333333333	4149.954583333333	1469.25	1411.60375	3079.315	1439.3520833333334	794.1366666666667	1131.3125	3038.6379166666666	2634.0366666666664	1127.4291666666668	1945.7333333333336	1409.986666666667	1797.9945833333334	3619.631666666666	2160.7587500000004	2709.364583333333	1410.7375	1426.1475	3644.84875	2030.54875	1024.9479166666667	1896.1754166666667	2641.86125	1101.5383333333332	1924.875	1557.0404166666667	1357.8054166666666	1627.6579166666663	2124.715	652.5345833333333	1901.2420833333333	2806.3545833333333	4571.256249999999	2456.277083333333	2942.1529166666664	1272.4520833333331	1640.2258333333332	5948.272083333332	3327.980833333333	2306.4779166666667	2476.48375	1375.9533333333331	713.63125	459.6245833333333	1092.8979166666666	1584.40125	5890.255	6017.3966666666665	1342.1979166666667	1492.0141666666666	1965.6554166666665	4351.98375	3127.467916666667	2463.8941666666665	2202.320833333333	2236.4220833333334	3236.4725	2165.1304166666664	17436.75458333333	2269.7220833333336	4874.72625	1351.9433333333334	1641.7504166666668	1799.347083333333	8268.883333333333	674.0225	1893.2625	2241.2220833333336	1592.09	2452.057916666666	1800.5925	2200.02125	3637.743333333333	1140.3970833333333	901.0625	1860.2754166666664	2430.9791666666665	1839.58875	837.0187500000001	2612.2783333333336	990.09375	7696.642083333333	1472.6449999999998	5192.605416666666	1387.5916666666665	1198.5808333333332	1744.162916666667	1170.0545833333333	1443.25375	930.5795833333332	1264.4154166666667	4983.360416666666	1651.830416666667	3236.17375
ko00072	not_found	1110.9825	2363.0	3176.5275	3140.895	4702.65	2795.105	7221.075	3403.745	1242.355	3578.855	15262.1575	1167.1175	2175.7650000000003	1301.375	3559.75	1545.0425	632.3125	2248.77	2092.8975	5655.75	2087.75	2142.9175	1566.845	2296.6875	2919.805	1303.8125	1105.625	923.555	3689.0275	3013.965	2110.8050000000003	1736.585	1916.6175	2727.775	1369.2225	1525.875	2673.45	1363.875	777.6125	872.125	3963.4475	3136.7575	1609.3325	2859.0	1277.8325	1657.315	4058.2	2385.77	2612.6800000000003	1787.9725	907.5	967.49	1583.625	1058.375	1805.63	1955.8625	1571.5	2140.125	1302.27	890.195	1144.125	829.125	622.66	2888.34	931.125	4618.73	2322.75	2602.215	2126.9125	1756.75	10984.22	2870.605	1867.0825	2918.855	1326.875	666.5375	521.75	966.9375	1248.1525	9681.125	10633.475	1625.7	1176.1875	1439.2375	4667.125	3026.1775	2945.5475	1535.1875	3694.1875	3801.5075	1992.2025	31780.585	2318.425	9887.7925	1953.2425	1655.875	2457.895	13042.125	500.1175	2011.2925	2503.1675	1467.845	2507.57	1170.59	2807.02	3742.375	1348.4725	985.71	1967.5625	2730.4375	1597.82	827.605	4061.75	1091.4375	14054.4775	1675.1875	5166.18	1698.405	1212.875	2412.625	1706.75	1652.9350000000002	829.73	803.355	6993.1325	1372.7775	6305.7275
