study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB14674	SAMEA4060774	ERX1584669	ERR1513642	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513642/ERR1513642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513642/10567.BLANK.1.1D.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/002/ERR1513642	
PRJEB14674	SAMEA4060777	ERX1584672	ERR1513645	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513645/ERR1513645.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513645/10567.BLANK.1.1G.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/005/ERR1513645	
PRJEB14674	SAMEA4060779	ERX1584674	ERR1513647	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513647/ERR1513647.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513647/10567.BLANK.2.2A.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/007/ERR1513647	
PRJEB14674	SAMEA4060787	ERX1584682	ERR1513655	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/005/ERR1513655/ERR1513655.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513655/10567.BLANK.3.3B.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/005/ERR1513655	
PRJEB14674	SAMEA4060789	ERX1584684	ERR1513657	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/007/ERR1513657/ERR1513657.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513657/10567.BLANK.3.3E.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/007/ERR1513657	
PRJEB14674	SAMEA4060794	ERX1584689	ERR1513662	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/002/ERR1513662/ERR1513662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513662/10567.BLANK.4.4C.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/002/ERR1513662	
PRJEB14674	SAMEA4060805	ERX1584700	ERR1513673	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/003/ERR1513673/ERR1513673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513673/10567.EC0051201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/003/ERR1513673	
PRJEB14674	SAMEA4060806	ERX1584701	ERR1513674	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/004/ERR1513674/ERR1513674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513674/10567.EC0053201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/004/ERR1513674	
PRJEB14674	SAMEA4060810	ERX1584705	ERR1513678	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513678/ERR1513678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513678/10567.EC0098201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/008/ERR1513678	
PRJEB14674	SAMEA4060818	ERX1584713	ERR1513686	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/006/ERR1513686/ERR1513686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513686/10567.EP0035201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/006/ERR1513686	
PRJEB14674	SAMEA4060820	ERX1584715	ERR1513688	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR151/008/ERR1513688/ERR1513688.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR151/ERR1513688/10567.EP0078201.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR151/008/ERR1513688	
