description	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
B_Glycolysis _ Gluconeogenesis	3471.57	6371.8955	5755.278	7976.71575	8771.74125	3705.835	3684.70875	4831.28825	2942.68925	8822.13775	10329.93925	4267.3155	6641.516	3975.77725	9470.698	3520.24875	2891.43475	6532.69525	7292.5695	7795.74575	5931.084	2980.64025	5995.825	7684.49125	10121.215	4016.77025	4097.632	3889.05975	6318.693	8722.62775	5999.66175	6419.842	5473.52025	12401.73625	4984.4235	5461.74525	9511.2165	4316.53775	2007.85625	3556.23575	8602.92075	6134.02525	3492.59325	7441.987	4733.91875	4290.3575	12168.64225	6751.9335	7995.83475	4863.68375	3225.91775	9357.20525	5349.65	3524.66575	5524.78675	5730.812	3951.283	7088.082	5005.7975	3341.58275	5218.40025	6920.1135	1972.62475	5912.329	4981.00775	12031.166	8337.72575	7811.15375	1703.122	4873.916	5771.925	11449.48125	6282.46175	8328.4315	3491.628	2882.15925	1577.16275	3680.45925	3978.178	10727.03525	4909.76825	3088.458	3928.80275	4157.4715	13374.99	6256.13325	3551.862	5170.952	5666.97125	6741.0405	4468.00375	13066.39825	5749.70375	5666.76725	2460.25475	5724.856	4900.707	23407.75075	1953.00975	5725.63375	5573.4075	4384.78825	6771.07825	5211.99125	6572.45725	11172.43275	2928.11925	2856.622	5773.4745	7047.7085	5721.787	1962.9935	5732.931	2715.33425	7113.5085	4574.715	15971.339	4122.97525	3720.85675	5436.8605	3397.324	4833.7185	1966.47225	4009.15425	9236.87975	4331.52625	2991.697
B_Citrate cycle (TCA cycle)	3369.19333333333	5536.87259259259	5561.2637037037	5769.69777777778	6114.6	3944.51481481482	4129.27037037037	4843.63444444444	2768.98925925926	6135.76	11074.2018518519	3804.33407407407	6461.04925925926	3575.06703703704	8246.01481481482	2750.02740740741	2276.80703703704	7633.23592592592	8241.91296296296	7610.86148148148	5753.70148148148	3189.26925925926	6890.07037037037	6342.57925925926	10550.5788888889	3151.93222222222	3597.86814814815	3739.31222222222	5429.62444444444	8216.50037037037	4612.45703703704	5672.69703703704	5593.08814814815	12097.5703703704	4760.3862962963	3168.57074074074	8870.32666666667	3432.69962962963	2093.02296296296	3364.24851851852	7201.24703703704	5527.27407407407	3544.24037037037	4710.66407407407	4254.87185185185	3705.97259259259	11715.1666666667	6017.38592592593	8087.05481481481	3544.49333333333	3519.5362962963	8596.16962962963	5299.57	3323.03518518519	4770.09148148148	5865.69740740741	2885.09925925926	5135.46555555556	4610.10296296296	3747.10851851852	6098.22185185185	6850.81555555556	1622.91296296296	4821.06111111111	5143.54481481481	11702.0948148148	6955.57703703704	6932.16407407407	1489.16407407407	4779.43222222222	7022.87925925926	9452.81555555556	5634.46703703704	6606.98333333333	3126.00222222222	2187.15851851852	1062.18074074074	3411.92074074074	3973.53740740741	9962.77481481482	6071.05148148148	2904.45703703704	3610.4762962963	4108.89074074074	12055.8655555556	5320.67777777778	3661.51962962963	5368.82703703704	4867.37111111111	6590.04666666667	4508.8062962963	17518.8266666667	5400.52148148148	5663.29296296296	2370.88037037037	5505.21296296296	3956.23777777778	16105.9074074074	1846.71851851852	4824.69481481481	4976.6737037037	4076.19407407407	5678.07111111111	4655.97259259259	4844.20407407407	6418.09777777778	2719.08814814815	2321.71592592593	5168.83037037037	6075.34259259259	4613	2015.40925925926	5242.50111111111	2507.52296296296	8358.97518518518	3686.75444444444	15405.3244444444	3267.95074074074	3300.7937037037	3658.14444444444	2663.76777777778	4148.77185185185	1904.92185185185	4038.84962962963	8488.26555555556	4230.99222222222	3234.18555555555
B_Pentose phosphate pathway	4814.80636363636	8951.39	7760.11545454545	13093.6695454545	13902.8118181818	5366.59590909091	4592.17681818182	6630.84136363636	4323.82636363636	14421.8890909091	12830.8354545455	6677.21136363636	9701.87772727273	6096.30954545455	14094.5772727273	5926.99772727273	4265.50863636364	9786.71227272727	10190.1604545455	10889.5981818182	9360.35681818182	3924.06681818182	8021.02045454546	11450.9386363636	15315.8281818182	6207.01590909091	6143.69727272727	5138.50409090909	9937.695	13234.9368181818	9125.09727272727	9526.40590909091	8309.39181818182	18526.1045454545	8342.62272727273	8813.16636363636	15388.7527272727	6621.46272727273	2830.72545454545	5260.99409090909	13547.5827272727	9139.33045454545	4929.84954545455	11505.3495454545	7510.57227272727	6227.28545454545	19351.6031818182	10483.1718181818	12299.8495454545	7886.07772727273	4284.67818181818	15270.0172727273	7769.02590909091	5562.63227272727	8726.81045454546	7682.93590909091	6544.695	10922.8627272727	7900.395	4771.62636363636	7564.11045454545	10220.8995454545	3066.20818181818	9468.72409090909	8473.22636363636	17220.3154545455	12757.7345454545	12094.2645454545	2463.70136363636	7830.05318181818	6957.22409090909	18328.5454545455	9533.72363636364	13176.7609090909	5085.64636363636	4467.59636363636	2481.47636363636	5494.53727272727	5503.72727272727	14516.6831818182	5488.63590909091	4422.42181818182	5584.40409090909	5511.78227272727	20294.6309090909	8621.50681818182	4871.76409090909	7270.47909090909	8674.7	8747.26227272727	6350.18136363636	14049.3977272727	7661.43227272727	7557.63	3370.38136363636	8525.98318181818	8069.925	43917.5036363636	2900.45636363636	8852.68272727273	8107.42181818182	6605.21227272727	9585.81954545455	8164.21727272727	10454.6509090909	19097.2477272727	4056.85045454545	4499.00772727273	9590.54772727273	10908.8609090909	7782.48454545455	2939.29318181818	8479.64136363636	4193.32090909091	8118.22363636364	6975.54681818182	24289.3577272727	6663.58409090909	5778.65227272727	8685.65454545454	5665.90272727273	7216.87318181818	2559.56090909091	6251.66590909091	12599.6409090909	6137.78545454545	3551.97954545455
B_Pentose and glucuronate interconversions	2122.73923076923	3415.83807692308	4300.89461538462	5884.58269230769	6020.12153846154	2806.28538461538	2326.62846153846	3830.80615384615	2166.395	5480.38384615385	5853.80038461538	2946.75115384615	4718.80576923077	3161.35384615385	5654.95807692308	2469.155	1763.45153846154	4216.34615384615	6954.38807692308	6126.86115384615	4576.60423076923	2341.91923076923	4927.45076923077	4942.93769230769	8731.89115384616	3479.81461538462	2565.54346153846	2872.13307692308	5811.67115384615	6084.09730769231	3516.87538461538	3408.52730769231	4088.88230769231	11293.1153846154	4278.56730769231	3210.25923076923	9779.81730769231	2682.39576923077	1274.89346153846	2791.98961538462	5215.71384615385	5479.44384615385	2203.84076923077	3602.03538461538	3208.085	3252.51730769231	10726.3869230769	4729.91461538461	6205.83653846154	3075.28730769231	2968.16423076923	8857.98115384615	4272.02615384615	2640.43615384615	4114.24538461538	5073.37961538462	2678.97153846154	4980.04769230769	3866.05	2969.84230769231	4265.51692307692	5755.06	1458.04576923077	4188.69730769231	3621.80153846154	8118.57076923077	5298.88807692308	6927.38769230769	1184.90653846154	4763.32884615385	3175.80230769231	8043.01076923077	5649.91961538462	5789.84192307692	2705.94	1730.69038461538	984.570769230769	2786.17269230769	2978.03307692308	5842.08538461538	2306.05461538462	2001.50423076923	2823.76115384615	3466.51423076923	8533.96076923077	5237.05230769231	2417.37653846154	4684.65461538462	3177.27807692308	4416.28	3297.67307692308	6874.96461538462	4728.87769230769	3316.16538461538	1868.91653846154	3354.20961538462	4388.56615384615	20488.9515384615	1325.79	3889.46769230769	3892.47076923077	3490.75153846154	4530.55076923077	3888.25423076923	4501.55	7976.13807692308	1655.23115384615	1861.24846153846	5021.89346153846	4647.17076923077	3489.20807692308	1833.42538461538	4132.21730769231	2418.17038461539	3480.94615384615	2873.57615384615	11816.8915384615	3213.98423076923	2457.35346153846	3109.48346153846	2767.85923076923	3010.52153846154	1607.23846153846	3766.72269230769	6270.605	3223.56	1890.83615384615
B_Fructose and mannose metabolism	3321.41424242424	5000.76848484848	5363.13727272727	6528.16090909091	8227.72484848485	3137.55333333333	2455.69666666667	4233.04212121212	2637.93090909091	8533.32393939394	6365.09909090909	4198.05515151515	6275.2696969697	3985.63	7720.54060606061	3472.47939393939	2470.00121212121	6821.81666666667	7813.10696969697	7868.16909090909	6380.17909090909	2728.65787878788	6348.40575757576	6787.88212121212	10739.4354545455	3855.78454545454	3646.45303030303	3711.08090909091	7350.85272727273	7760.26909090909	5464.77878787879	5689.74303030303	5509.96848484849	13602.786969697	5333.88545454545	5917.48515151515	10848.6696969697	4087.57727272727	1723.76242424242	3434.7103030303	7407.09515151515	6489.88909090909	3015.24272727273	6385.83606060606	4578.43212121212	4194.27939393939	13545.0981818182	6516.00606060606	8425.79848484849	4355.16939393939	3411.13878787879	8596.14909090909	5446.01333333333	3455.63878787879	5652.17848484848	5883.60727272727	3435.85090909091	6801.45090909091	5197.8803030303	3659.42575757576	5313.33454545455	6455.22696969697	1910.34636363636	5297.14575757576	3028.98454545454	11254.1766666667	7742.91272727273	8218.53151515152	1499.23727272727	5868.33636363636	4085.81303030303	10293.8127272727	6603.01363636364	7894.47	3223.66909090909	2657.20060606061	1536.96212121212	3508.21181818182	3721.71363636364	8891.73121212121	3226.34060606061	3039.23606060606	3927.82848484849	4293.35787878788	11617.9721212121	6574.97151515152	2720.61696969697	5221.98	4702.67909090909	5336.80636363636	4072.23181818182	8268.77424242424	5500.60757575758	4134.98333333333	2017.47515151515	5556.89757575758	5453.54909090909	30025.5333333333	1839.30484848485	5390.35909090909	5075.14121212121	4469.48848484849	5998.02303030303	5125.79909090909	5414.63484848485	11929.36	2451.22484848485	2537.89272727273	6699.8596969697	6663.90757575758	5101.91	2119.23121212121	5463.89909090909	2856.69727272727	4471.74393939394	4168.30696969697	15286.6296969697	4191.66848484848	3517.37727272727	4480.82	3664.71727272727	4509.44939393939	1934.09363636364	4303.25727272727	7700.31363636364	4317.6196969697	2294.29303030303
B_Galactose metabolism	2861.96482758621	4847.93103448276	6146.23724137931	4453.21620689655	9349.74172413793	3547.35206896552	2468.62172413793	4457.14172413793	2943.37172413793	10166.4465517241	7405.48172413793	4619.82551724138	6771.41517241379	4528.44965517241	8219.14103448276	3292.11344827586	3099.52827586207	5267.87517241379	8638.55068965517	7722.48724137931	6701.58103448276	3062.41655172414	6756.41137931035	8893.20172413793	12505.4924137931	5324.50931034483	4396.02103448276	4252.52586206896	6823.69689655172	9456.47724137931	5881.53586206897	5526.95068965517	5721.94206896552	15618.5362068966	5338.7575862069	6066.70482758621	12857.955862069	4878.48	1741.04413793103	3863.77862068966	9248.30310344828	6890.86620689655	2948.56517241379	8710.51344827586	4989.63724137931	4694.20172413793	15138.8593103448	7084.93310344828	9174.82793103448	5351.38103448276	3960.98517241379	8865.83827586207	5617.67482758621	3863.3	5702.94068965517	6536.10896551724	4286.63896551724	8060.52310344827	5894.83	3745.63551724138	4965.33827586207	6043.80482758621	2484.99068965517	5207.47068965517	4093.1224137931	12328.2427586207	8898.88103448276	9177.20137931034	1453.38	6121.23896551724	4127.72034482759	11852.8565517241	8067.09448275862	10303.4993103448	4010.05344827586	2900.68275862069	1573.84206896552	4184.44275862069	4383.24034482759	8801.51206896552	2436.85655172414	2798.37	4116.52724137931	4611.15310344828	14371.7193103448	6649.92965517241	3152.26275862069	6302.30827586207	5228.0175862069	5982.32689655172	4770.10344827586	6311.67724137931	6013.78068965517	3890.22586206896	2013.78	5757.23689655172	5564.93965517241	25723.8765517241	1958.01862068966	5962.58551724138	5352.98620689655	4967.11103448276	6907.69862068966	6296.19965517241	6646.28862068965	12201.2296551724	2423.36275862069	3382.79103448276	6934.54482758621	7180.55275862069	5892.35827586207	2004.21413793103	6039.22413793103	3061.56068965517	4268.56655172414	4341.79172413793	16628.8817241379	4404.9724137931	4225.15137931034	5666.02034482759	3983.66206896552	5142.73689655173	2069.84896551724	5288.87172413793	9290.08793103448	5090.56862068966	1940.19689655172
B_Ascorbate and aldarate metabolism	1138.86222222222	898.417777777778	2354.27666666667	3343.86833333333	2418.92111111111	894.363888888889	1964.72611111111	1487.94555555556	620.639444444445	1754.28166666667	3558.91333333333	961.907222222222	1488.86333333333	1114.32611111111	1599.99888888889	817.312222222222	472.230555555556	2080.19166666667	2413.34666666667	2960.035	1498.34611111111	1011.80833333333	2060.12777777778	1370.07888888889	2438.87	1483.03944444444	814.904444444444	1409.08222222222	3194.19777777778	1740.52055555556	1349.59611111111	1171.24722222222	1646.97166666667	3692.31833333333	1350.83777777778	1148.89055555556	2802.59222222222	1017.60666666667	559.956666666667	937.598333333333	1564.34166666667	2623.69111111111	822.101666666667	1009.09888888889	920.897222222222	1622.55555555556	2963.71166666667	1298.45666666667	1812.32277777778	873.195555555556	1396.61944444444	3547.93388888889	1552.02722222222	666.084444444444	1658.45722222222	2671.485	681.413333333333	1488.88444444444	1067.97666666667	1407.185	1012.43888888889	2060.99888888889	494.066111111111	1336.22777777778	1579.14444444444	2990.57444444444	1522.59944444444	2786.38055555556	556.269444444444	1690.42333333333	2237.06166666667	2239.04944444444	2065.85888888889	1432.16333333333	1120.32833333333	413.795	307.772222222222	745.099444444444	1172.86388888889	3197.15111111111	1315.79388888889	1059.61111111111	1365.57944444444	2020.00833333333	2607.90944444444	3366.71333333333	746.161111111111	1796.48222222222	1016.06222222222	2016.99944444444	1105.33388888889	4207.62111111111	2224.31166666667	2258.62055555556	659.938333333333	845.400555555555	1818.40888888889	5125.11944444444	447.715555555556	1037.31611111111	1655.31944444444	1404.81777777778	1937.09388888889	1326.12222222222	1369.99277777778	3051.70111111111	591.06	457.629444444444	1399.91555555556	1670.94	1943.36833333333	650.768333333333	1343.60388888889	796.487222222222	2481.82888888889	1083.82333333333	3303.58388888889	995.979444444444	644.793888888889	1133.26666666667	902.186111111111	807.273333333333	902.27	940.33	3273.88	1303.93055555556	1948.395
D_Fatty acid biosynthesis	4196.62153846154	9931.49923076923	7854.14461538461	10137.0861538462	11695.3807692308	5700.32384615385	6736.61923076923	7919.39692307692	4576.32461538461	13035.9761538462	19067.3223076923	6706.28846153846	10322.3861538462	5841.32846153846	14718.1330769231	5363.05461538462	4499.99	9194.92230769231	8596.88923076923	10983.1661538462	8520.68076923077	4714.68538461538	8137.41307692308	11553.4407692308	13342.4353846154	5071.31307692308	6289.29692307692	5728.47846153846	7834.08538461539	14279.9307692308	8477.38307692308	10005.6969230769	7899.39923076923	19050.1830769231	7332.24153846154	8114.52461538461	13911.7576923077	6158.54307692308	2711.48846153846	5184.51538461539	14068.3053846154	7877.79153846154	5072.40769230769	10868.7169230769	7514.59230769231	5690.10076923077	16454.5276923077	9954.26923076923	11370.7907692308	7374.10230769231	4052.22692307692	12954.5015384615	7694.29230769231	5499.24769230769	8242.16923076923	7607.07153846154	6210.84692307692	10851.4238461538	7686.07692307692	4843.14384615385	6932.11615384615	9982.53076923077	2981.52692307692	9917.35538461538	7993.68076923077	17712.5738461538	13685.6153846154	11505.0269230769	2596.01692307692	6314.89307692308	10393.8269230769	18579.6530769231	9120.75615384615	13057.9284615385	5112.02769230769	4739.07	2432.92384615385	5546.10461538462	5849.28769230769	16586.1592307692	8571.81384615385	4533.44230769231	5551.71769230769	5053.27153846154	21492.9538461538	7090.61769230769	5735.08692307692	7596.75153846154	9208.38538461538	10094.0069230769	6839.81307692308	24727.0453846154	7442.84615384615	10625.4892307692	4008.91230769231	9972.66076923077	6423.18461538462	23537.1261538462	2830.77615384615	9220.88769230769	8568.48923076923	6138.59615384615	10016.9023076923	8073.16538461538	10910.1646153846	13868.62	5123.17384615385	4593.26692307692	7677.17153846154	11023.26	6625.62923076923	3120.46923076923	8564.33384615385	3758.37923076923	12570.42	6754.18923076923	24278.6746153846	5919.27923076923	5652.15230769231	8705.49692307692	5055.58615384615	7010.68153846154	2626.20076923077	6385.32461538462	15043.7323076923	5829.87769230769	5099.12230769231
D_Fatty acid degradation	1201.50583333333	1770.02791666667	3047.5625	3709.75625	3455.91916666667	2128.3125	3513.4675	2974.76125	1239.16791666667	2676.03958333333	7843.59375	1377.56875	2214.60125	1524.385	2859.59333333333	1146.65208333333	795.24625	2239.17375	2800.20666666667	4368.36125	2009.54208333333	1760.69083333333	2232.38	2202.98625	3067.93	1404.27458333333	1335.21125	1461.055	2794.7275	2902.96958333333	1684.17166666667	1759.42083333333	2129.86333333333	4149.95458333333	1469.25	1411.60375	3079.315	1439.35208333333	794.136666666667	1131.3125	3038.63791666667	2634.03666666667	1127.42916666667	1945.73333333333	1409.98666666667	1797.99458333333	3619.63166666667	2160.75875	2709.36458333333	1410.7375	1426.1475	3644.84875	2030.54875	1024.94791666667	1896.17541666667	2641.86125	1101.53833333333	1924.875	1557.04041666667	1357.80541666667	1627.65791666667	2124.715	652.534583333333	1901.24208333333	2806.35458333333	4571.25625	2456.27708333333	2942.15291666667	1272.45208333333	1640.22583333333	5948.27208333333	3327.98083333333	2306.47791666667	2476.48375	1375.95333333333	713.63125	459.624583333333	1092.89791666667	1584.40125	5890.255	6017.39666666667	1342.19791666667	1492.01416666667	1965.65541666667	4351.98375	3127.46791666667	2463.89416666667	2202.32083333333	2236.42208333333	3236.4725	2165.13041666667	17436.7545833333	2269.72208333333	4874.72625	1351.94333333333	1641.75041666667	1799.34708333333	8268.88333333333	674.0225	1893.2625	2241.22208333333	1592.09	2452.05791666667	1800.5925	2200.02125	3637.74333333333	1140.39708333333	901.0625	1860.27541666667	2430.97916666667	1839.58875	837.01875	2612.27833333333	990.09375	7696.64208333333	1472.645	5192.60541666667	1387.59166666667	1198.58083333333	1744.16291666667	1170.05458333333	1443.25375	930.579583333333	1264.41541666667	4983.36041666667	1651.83041666667	3236.17375
D_Steroid biosynthesis	0	0	11.5625	0.375	0	0.54125	0	20.52125	15.375	0.29125	4.95875	13.8125	22.89125	0.25	14.20875	0	0.125	3.45875	6.25	14.79125	0	12.5	0	17.5	205.66625	3.625	3.52125	60.3125	1.5	10.875	7.29125	48.83375	46.875	64.04125	20.875	0.33375	109.33375	3.66625	0	11.25	8.20875	0	0	0	9.02125	0.41625	38.08375	2.875	87.625	0.08375	0.20875	104.8125	10.54125	18.91625	1.45875	9.25	3.125	4.60375	0.20875	0	0	0	4.58375	2.70875	0.25	207.2925	43.08375	6.95875	9.130625	86.33375	4.625	10.83375	2.0625	0.125	0	6	1.54125	3.3125	6.54125	0	3.08375	33.33375	2.20875	0.25	23.375	0	8.91625	10.25	0	64.16625	20.79125	18.03125	32.775625	22.45875	0.8125	23.29125	3.25	0	23.0625	14.45875	13.375	3.9375	15.875	29.29125	27.1875	0	0	1.625	14.83375	29.41625	108.75	4.25	6.70875	0.75	34.875	0.5	1.0625	27.8125	1.20875	0	0	0.75	3.5	0	10.91625	101.5	0
