# Constructed from biom file
#OTU ID	ERR1513682	ERR1513683	ERR1513684	ERR1513685	ERR1513686	ERR1513688	ERR1513689	ERR1513690	ERR1513691	ERR1513692	ERR1513693	ERR1513695	ERR1513698	ERR1513699	ERR1513701	ERR1513702	ERR1513703	ERR1513704	ERR1513705	ERR1513706	ERR1513709	ERR1513710	ERR1513711	ERR1513712	ERR1513713	ERR1513714	ERR1513778	ERR1513781	ERR1513782	ERR1513783	ERR1513784	ERR1513785	ERR1513786	ERR1513787	ERR1513788	ERR1513789	ERR1513790	ERR1513793	ERR1513795	ERR1513796	ERR1513797	ERR1513798	ERR1513799	ERR1513800	ERR1513801	ERR1513802	ERR1513803	ERR1513804	ERR1513805	ERR1513806	ERR1513807	ERR1513808	ERR1513810	ERR1513811	ERR1513812	ERR1513813	ERR1513815	ERR1513816	ERR1513817	ERR1513818	ERR1513819	ERR1513820	ERR1513821	ERR1513823	ERR1513824	ERR1513825	ERR1513826	ERR1513827	ERR1513828	ERR1513829	ERR1513830	ERR1513831	ERR1513832	ERR1513833	ERR1513834	ERR1513835	ERR1513836	ERR1513837	ERR1513838	ERR1513839	ERR1513840	ERR1513841	ERR1513842	ERR1513843	ERR1513844	ERR1513846	ERR1513847	ERR1513849	ERR1513850	ERR1513851	ERR1513853	ERR1513854	ERR1513855	ERR1513856	ERR1513857	ERR1513858	ERR1513859	ERR1513860	ERR1513861	ERR1513862	ERR1513863	ERR1513864	ERR1513865	ERR1513866	ERR1513867	ERR1513869	ERR1513870	ERR1513871	ERR1513872	ERR1513873	ERR1513874	ERR1513875	ERR1513876	ERR1513877	ERR1513878	ERR1513879	ERR1513880	ERR1513881	ERR1513882	ERR1513883	ERR1513884	ERR1513885	ERR1513886	ERR1513887	ERR1513888	ERR1513889	ERR1513890	ERR1513891	ERR1513892	ERR1513894	ERR1513896	ERR1513898	ERR1513899	ERR1513901	ERR1513902	ERR1513903	ERR1513904	ERR1513905	ERR1513906	ERR1513907	ERR1513908	ERR1513909	ERR1513910	ERR1513911	ERR1513912	ERR1513913	ERR1513914	ERR1513916	ERR1513917	ERR1513918	ERR1513919	ERR1513921	ERR1513922	ERR1513923	ERR1513924	ERR1513925	ERR1513926	ERR1513927	ERR1513928	ERR1513929	ERR1513930	ERR1513931	ERR1513932	ERR1513933	ERR1513934	ERR1513935	ERR1513937	ERR1513938	ERR1513939	ERR1513940	ERR1513942	ERR1513943	ERR1513944	ERR1513946	ERR1513947	ERR1513948	ERR1513949	ERR1513950	ERR1513951	ERR1513954	ERR1513955	ERR1513956	ERR1513957
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	11647.0	2733.0	3073.0	3140.0	5765.0	58.0	78.0	6565.0	1156.0	156.0	904.0	1552.0	4803.0	3481.0	638.0	3657.0	14239.0	443.0	2807.0	256.0	2292.0	610.0	157.0	2839.0	1862.0	177.0	987.0	25.0	3262.0	5426.0	3773.0	0.0	1749.0	6129.0	434.0	819.0	1678.0	25.0	12511.0	876.0	141.0	176.0	209.0	605.0	2211.0	31.0	512.0	4040.0	553.0	68.0	682.0	228.0	347.0	3980.0	285.0	524.0	6543.0	1162.0	49.0	667.0	131.0	1203.0	5551.0	77.0	1350.0	86.0	2543.0	2962.0	17.0	141.0	554.0	21.0	1027.0	4080.0	3489.0	86.0	5815.0	11213.0	51.0	12065.0	50.0	4270.0	9318.0	8667.0	311.0	317.0	3373.0	11407.0	3053.0	2028.0	27.0	40.0	1578.0	47.0	4933.0	0.0	201.0	3140.0	452.0	3051.0	4887.0	1500.0	12.0	253.0	10.0	331.0	514.0	562.0	32.0	6131.0	101.0	326.0	4.0	6219.0	133.0	3428.0	136.0	1146.0	1646.0	4796.0	1495.0	845.0	1976.0	41.0	6893.0	271.0	491.0	2345.0	5514.0	91.0	58.0	4670.0	3871.0	232.0	4524.0	9256.0	3763.0	12415.0	5840.0	275.0	6296.0	4773.0	6325.0	9.0	5047.0	818.0	2844.0	196.0	1001.0	158.0	3379.0	1838.0	5121.0	2698.0	2535.0	83.0	5609.0	4583.0	8949.0	2214.0	174.0	95.0	1205.0	575.0	935.0	104.0	434.0	3485.0	1153.0	60.0	7708.0	3674.0	10588.0	2779.0	1605.0	268.0	3554.0	72.0	4349.0	16.0	4159.0	71.0	1335.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	2319.0	3471.0	2928.0	2221.0	2084.0	4451.0	1693.0	7347.0	8111.0	4955.0	3991.0	3653.0	12079.0	8082.0	4659.0	995.0	3184.0	6515.0	6203.0	13743.0	5606.0	8631.0	14805.0	4135.0	4687.0	9748.0	3617.0	4688.0	4579.0	7001.0	3687.0	2572.0	4644.0	1066.0	8763.0	2912.0	2937.0	1671.0	3709.0	5702.0	7637.0	4101.0	7923.0	13627.0	7344.0	4094.0	5324.0	4901.0	2542.0	13770.0	4937.0	5025.0	7202.0	5380.0	10802.0	8496.0	2595.0	16419.0	2737.0	1002.0	4679.0	11146.0	6905.0	6751.0	5716.0	8936.0	7967.0	3046.0	5621.0	3903.0	4447.0	4876.0	7292.0	10159.0	5270.0	7226.0	6968.0	7295.0	5026.0	6575.0	9943.0	3350.0	5468.0	4166.0	4806.0	3835.0	8748.0	2047.0	7257.0	4169.0	5814.0	6663.0	5487.0	1853.0	3436.0	7466.0	3639.0	7411.0	6664.0	2311.0	4271.0	1397.0	6190.0	2861.0	1105.0	2828.0	7973.0	3572.0	2808.0	6795.0	9611.0	9650.0	4220.0	5895.0	21024.0	3215.0	4010.0	3727.0	1698.0	3008.0	5434.0	2734.0	9970.0	1181.0	3871.0	6502.0	10838.0	2329.0	3602.0	5706.0	3839.0	8263.0	1644.0	11223.0	3154.0	3518.0	6139.0	3805.0	7923.0	6741.0	2168.0	3936.0	1544.0	5530.0	4420.0	6824.0	1922.0	15532.0	6928.0	6447.0	3642.0	1896.0	4288.0	1625.0	1657.0	8683.0	3481.0	2259.0	8334.0	1122.0	5099.0	2232.0	7772.0	6095.0	3938.0	466.0	228.0	2422.0	4593.0	3606.0	336.0	4133.0	3042.0	7007.0	5090.0	4340.0	3218.0	4210.0	4051.0	7634.0	4201.0	4864.0	4571.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0	27.0	0.0	174.0	0.0	0.0	2524.0	244.0	56.0	2570.0	100.0	0.0	214.0	602.0	1468.0	156.0	0.0	3.0	467.0	7.0	93.0	3.0	129.0	364.0	2300.0	102.0	0.0	0.0	709.0	326.0	64.0	618.0	1332.0	149.0	1445.0	148.0	3272.0	172.0	839.0	156.0	0.0	0.0	0.0	1962.0	8.0	6350.0	1494.0	0.0	5.0	422.0	2694.0	0.0	0.0	9.0	0.0	362.0	41.0	4.0	58.0	128.0	7.0	0.0	606.0	45.0	79.0	3190.0	300.0	647.0	2984.0	0.0	1163.0	4323.0	239.0	4009.0	255.0	17.0	2031.0	3175.0	1418.0	5.0	10.0	827.0	537.0	2424.0	8.0	90.0	68.0	126.0	1554.0	35.0	79.0	334.0	114.0	5439.0	0.0	0.0	82.0	0.0	11.0	78.0	3.0	1413.0	2.0	5.0	402.0	150.0	88.0	4410.0	779.0	184.0	5346.0	1497.0	141.0	372.0	13.0	78.0	4185.0	333.0	664.0	432.0	772.0	18.0	1676.0	274.0	78.0	258.0	2019.0	26.0	0.0	2569.0	0.0	99.0	0.0	2029.0	0.0	2.0	427.0	0.0	940.0	5531.0	744.0	172.0	604.0	4206.0	0.0	41.0	122.0	126.0	1597.0	8.0	0.0	18.0	1637.0	493.0	2742.0	20.0	1988.0	8.0	673.0	34.0	15.0	316.0	566.0	1385.0	0.0	0.0	0.0	2725.0	1005.0	188.0	140.0	94.0	106.0	812.0	49.0	350.0	34.0	3855.0	136.0	4.0	1125.0	0.0	62.0
d__Bacteria;p__Firmicutes;c__Clostridia	343.0	1045.0	2044.0	605.0	6836.0	7609.0	3201.0	2327.0	8853.0	9274.0	7114.0	1219.0	6244.0	2223.0	1861.0	11346.0	3979.0	6817.0	1002.0	5271.0	5305.0	6684.0	10423.0	4626.0	2382.0	16969.0	2050.0	7640.0	1330.0	727.0	4454.0	6202.0	3781.0	271.0	9348.0	490.0	5193.0	3338.0	3094.0	5516.0	7495.0	5379.0	8485.0	9755.0	4414.0	2855.0	7984.0	5911.0	4779.0	6671.0	6184.0	5678.0	8823.0	541.0	8952.0	12259.0	1794.0	11477.0	9079.0	580.0	12542.0	8860.0	942.0	9132.0	3309.0	8792.0	2881.0	2213.0	17259.0	12281.0	5063.0	4187.0	9692.0	1569.0	2562.0	9076.0	3065.0	952.0	3831.0	10848.0	3562.0	1748.0	5595.0	2367.0	4602.0	7577.0	7236.0	7386.0	3490.0	3986.0	8346.0	1801.0	7010.0	10023.0	2592.0	4592.0	3798.0	2031.0	11688.0	4896.0	4097.0	1937.0	5084.0	5821.0	5638.0	7293.0	14745.0	7726.0	6279.0	5041.0	5567.0	7365.0	8956.0	2165.0	8215.0	365.0	3521.0	672.0	1051.0	4842.0	5569.0	1315.0	12561.0	11704.0	2199.0	6604.0	14790.0	4531.0	4453.0	4092.0	14404.0	7476.0	637.0	12487.0	797.0	3100.0	5174.0	416.0	5551.0	4864.0	6449.0	6163.0	3340.0	5529.0	7520.0	26417.0	2245.0	8395.0	5051.0	4944.0	1509.0	5223.0	5894.0	1801.0	7606.0	12752.0	5640.0	3817.0	5192.0	2148.0	16989.0	8587.0	1232.0	9802.0	2728.0	5039.0	194.0	1372.0	5919.0	10354.0	1182.0	4137.0	1212.0	2983.0	5498.0	6018.0	2839.0	3817.0	1282.0	4905.0	9416.0	3759.0	4286.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	343.0	65.0	31.0	20.0	144.0	395.0	14.0	109.0	224.0	75.0	914.0	1730.0	130.0	28.0	621.0	406.0	42.0	417.0	127.0	572.0	220.0	16.0	572.0	142.0	98.0	459.0	947.0	42.0	33.0	393.0	0.0	107.0	11.0	111.0	138.0	149.0	24.0	489.0	20.0	18.0	410.0	968.0	129.0	286.0	386.0	508.0	184.0	243.0	18.0	17.0	595.0	417.0	344.0	602.0	7.0	84.0	30.0	539.0	331.0	54.0	16.0	30.0	88.0	270.0	312.0	274.0	148.0	440.0	1955.0	2943.0	27.0	31.0	10.0	340.0	17.0	24.0	38.0	10.0	240.0	237.0	51.0	15.0	773.0	13.0	187.0	562.0	71.0	258.0	69.0	29.0	286.0	17.0	1235.0	652.0	17.0	15.0	178.0	661.0	3047.0	173.0	24.0	68.0	12.0	14.0	11.0	25.0	704.0	959.0	1468.0	8.0	3.0	26.0	3.0	160.0	29.0	61.0	9.0	113.0	44.0	44.0	93.0	18.0	133.0	598.0	101.0	821.0	191.0	22.0	279.0	20.0	1215.0	31.0	178.0	684.0	12.0	47.0	11.0	281.0	398.0	274.0	339.0	14.0	128.0	53.0	473.0	226.0	24.0	64.0	416.0	6.0	683.0	19.0	44.0	0.0	555.0	179.0	100.0	264.0	228.0	0.0	27.0	1433.0	279.0	1946.0	25.0	549.0	4.0	143.0	123.0	1017.0	40.0	100.0	163.0	0.0	33.0	14.0	18.0	167.0	101.0	38.0	120.0	12.0	132.0
d__Bacteria;p__Firmicutes;c__Negativicutes	87.0	41.0	31.0	19.0	656.0	56.0	125.0	79.0	259.0	386.0	79.0	647.0	108.0	50.0	846.0	243.0	198.0	786.0	890.0	144.0	297.0	539.0	880.0	115.0	133.0	1028.0	5833.0	0.0	187.0	152.0	35.0	344.0	167.0	20.0	142.0	425.0	157.0	55.0	54.0	491.0	81.0	611.0	438.0	2259.0	203.0	129.0	188.0	249.0	256.0	312.0	304.0	36.0	947.0	144.0	2011.0	826.0	15.0	406.0	685.0	18.0	43.0	286.0	632.0	365.0	2209.0	332.0	558.0	154.0	1479.0	1658.0	11.0	22.0	164.0	181.0	131.0	733.0	25.0	137.0	62.0	148.0	586.0	199.0	1361.0	24.0	224.0	130.0	197.0	206.0	23.0	8.0	271.0	5.0	1091.0	171.0	22.0	23.0	34.0	304.0	55.0	148.0	51.0	67.0	374.0	7.0	1241.0	112.0	84.0	2068.0	164.0	53.0	592.0	357.0	812.0	10.0	1779.0	16.0	694.0	1560.0	43.0	171.0	216.0	103.0	2884.0	244.0	62.0	204.0	441.0	3.0	32.0	75.0	749.0	72.0	9.0	905.0	48.0	153.0	45.0	88.0	311.0	867.0	13.0	0.0	127.0	35.0	143.0	107.0	8.0	110.0	1439.0	167.0	121.0	42.0	140.0	87.0	187.0	643.0	119.0	145.0	152.0	21.0	1456.0	289.0	3357.0	50.0	94.0	27.0	34.0	17.0	102.0	437.0	24.0	432.0	56.0	25.0	15.0	28.0	36.0	158.0	94.0	192.0	796.0	940.0	22.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia	0.0	11.0	20.0	31.0	30.0	54.0	86.0	27.0	63.0	44.0	8.0	23.0	243.0	86.0	0.0	0.0	0.0	61.0	133.0	20.0	35.0	7.0	272.0	27.0	0.0	12.0	66.0	23.0	0.0	47.0	77.0	54.0	0.0	0.0	385.0	81.0	60.0	18.0	178.0	20.0	83.0	115.0	0.0	246.0	171.0	8.0	120.0	46.0	56.0	200.0	58.0	53.0	61.0	91.0	114.0	462.0	14.0	29.0	8.0	3.0	216.0	173.0	191.0	130.0	21.0	309.0	52.0	177.0	339.0	316.0	106.0	31.0	19.0	5.0	132.0	190.0	54.0	110.0	39.0	9.0	0.0	23.0	61.0	0.0	167.0	3.0	135.0	189.0	127.0	0.0	117.0	21.0	78.0	39.0	12.0	0.0	15.0	67.0	166.0	14.0	18.0	29.0	0.0	156.0	86.0	142.0	19.0	1478.0	168.0	23.0	99.0	0.0	321.0	54.0	362.0	2.0	0.0	47.0	104.0	92.0	100.0	22.0	255.0	46.0	93.0	196.0	156.0	16.0	164.0	146.0	14.0	103.0	0.0	145.0	0.0	0.0	38.0	47.0	68.0	218.0	23.0	0.0	6.0	179.0	0.0	114.0	17.0	74.0	3.0	111.0	5.0	22.0	15.0	0.0	100.0	19.0	162.0	19.0	241.0	47.0	68.0	16.0	113.0	101.0	163.0	16.0	0.0	11.0	92.0	19.0	7.0	0.0	0.0	64.0	166.0	57.0	20.0	75.0	22.0	0.0	181.0	0.0	36.0
d__Bacteria;p__Firmicutes;c__Bacilli	303.0	446.0	118.0	39.0	1055.0	744.0	89.0	31.0	2162.0	687.0	2011.0	2090.0	347.0	138.0	128.0	186.0	2119.0	775.0	112.0	247.0	521.0	154.0	291.0	280.0	505.0	865.0	1233.0	247.0	165.0	74.0	64.0	26.0	298.0	29.0	80.0	86.0	441.0	82.0	942.0	149.0	443.0	173.0	133.0	676.0	83.0	581.0	1233.0	717.0	563.0	906.0	70.0	690.0	178.0	302.0	211.0	442.0	847.0	383.0	178.0	61.0	93.0	288.0	44.0	608.0	1274.0	808.0	117.0	40.0	114.0	4057.0	889.0	72.0	365.0	1388.0	105.0	310.0	480.0	58.0	196.0	341.0	67.0	189.0	1171.0	220.0	936.0	317.0	127.0	560.0	220.0	51.0	612.0	133.0	219.0	905.0	25.0	130.0	243.0	409.0	291.0	2224.0	115.0	240.0	120.0	2331.0	113.0	840.0	1485.0	107.0	587.0	161.0	145.0	368.0	216.0	1199.0	329.0	42.0	55.0	107.0	21.0	649.0	314.0	345.0	517.0	1035.0	59.0	243.0	501.0	353.0	267.0	105.0	1207.0	119.0	130.0	1654.0	21.0	191.0	73.0	65.0	511.0	242.0	537.0	1158.0	216.0	419.0	289.0	685.0	117.0	830.0	636.0	75.0	88.0	127.0	258.0	121.0	494.0	148.0	46.0	399.0	207.0	363.0	1057.0	600.0	379.0	2048.0	187.0	46.0	5.0	115.0	279.0	190.0	267.0	418.0	255.0	78.0	468.0	1622.0	76.0	958.0	36.0	175.0	346.0	88.0	318.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	20.0	0.0	7.0	0.0	0.0	0.0	0.0	867.0	0.0	2.0	7.0	18.0	0.0	0.0	1318.0	0.0	195.0	0.0	6.0	0.0	0.0	161.0	0.0	810.0	0.0	0.0	0.0	6.0	0.0	126.0	0.0	0.0	0.0	567.0	832.0	0.0	0.0	34.0	47.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	12.0	0.0	0.0	133.0	0.0	0.0	6.0	0.0	268.0	0.0	546.0	0.0	0.0	0.0	10.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	68.0	0.0	0.0	0.0	1944.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	38.0	0.0	0.0	2.0	0.0	4.0	0.0	87.0	0.0	51.0	11.0	0.0	0.0	0.0	5.0	4.0	0.0	2.0	29.0	42.0	349.0	37.0	3.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	14.0	0.0	28.0	2.0	2397.0	0.0	24.0	58.0	18.0	19.0	4.0	150.0	19.0	46.0	0.0	36.0	0.0	0.0	0.0	0.0	107.0	740.0	23.0	0.0	2.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	16.0	0.0	161.0	108.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	801.0	107.0	0.0	182.0	0.0	9.0	0.0	215.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.0	0.0	11.0	5.0	15.0	72.0	47.0	0.0	31.0	16.0	27.0	28.0	14.0	12.0	0.0	33.0	2.0	0.0	0.0	75.0	66.0	14.0	4.0	7.0	15.0	54.0	31.0	5.0	2.0	4.0	29.0	25.0	8.0	0.0	6.0	7.0	8.0	55.0	12.0	3.0	48.0	32.0	77.0	12.0	95.0	29.0	53.0	0.0	0.0	3.0	88.0	19.0	107.0	0.0	13.0	55.0	10.0	118.0	23.0	9.0	89.0	11.0	5.0	54.0	0.0	16.0	11.0	11.0	58.0	163.0	0.0	18.0	24.0	0.0	15.0	2.0	0.0	6.0	113.0	0.0	13.0	13.0	6.0	13.0	27.0	26.0	49.0	25.0	37.0	5.0	26.0	2.0	78.0	98.0	10.0	6.0	47.0	63.0	94.0	11.0	0.0	12.0	0.0	2.0	69.0	24.0	89.0	63.0	34.0	2.0	21.0	34.0	271.0	8.0	8.0	0.0	14.0	0.0	5.0	31.0	12.0	13.0	13.0	18.0	0.0	22.0	34.0	31.0	4.0	0.0	15.0	27.0	15.0	11.0	0.0	3.0	3.0	3.0	7.0	216.0	21.0	6.0	28.0	13.0	8.0	20.0	0.0	44.0	3.0	7.0	5.0	14.0	19.0	4.0	16.0	9.0	0.0	11.0	20.0	4.0	32.0	9.0	7.0	19.0	5.0	11.0	2.0	0.0	46.0	32.0	8.0	6.0	42.0	2.0	13.0	41.0	9.0	11.0	5.0	18.0	14.0	0.0	0.0
