# Constructed from biom file
#OTU ID	ERR1513682	ERR1513683	ERR1513684	ERR1513685	ERR1513686	ERR1513688	ERR1513689	ERR1513690	ERR1513691	ERR1513692	ERR1513693	ERR1513695	ERR1513698	ERR1513699	ERR1513701	ERR1513702	ERR1513703	ERR1513704	ERR1513705	ERR1513706	ERR1513709	ERR1513710	ERR1513711	ERR1513712	ERR1513713	ERR1513714	ERR1513778	ERR1513781	ERR1513782	ERR1513783	ERR1513784	ERR1513785	ERR1513786	ERR1513787	ERR1513788	ERR1513789	ERR1513790	ERR1513793	ERR1513795	ERR1513796	ERR1513797	ERR1513798	ERR1513799	ERR1513800	ERR1513801	ERR1513802	ERR1513803	ERR1513804	ERR1513805	ERR1513806	ERR1513807	ERR1513808	ERR1513810	ERR1513811	ERR1513812	ERR1513813	ERR1513815	ERR1513816	ERR1513817	ERR1513818	ERR1513819	ERR1513820	ERR1513821	ERR1513823	ERR1513824	ERR1513825	ERR1513826	ERR1513827	ERR1513828	ERR1513829	ERR1513830	ERR1513831	ERR1513832	ERR1513833	ERR1513834	ERR1513835	ERR1513836	ERR1513837	ERR1513838	ERR1513839	ERR1513840	ERR1513841	ERR1513842	ERR1513843	ERR1513844	ERR1513846	ERR1513847	ERR1513849	ERR1513850	ERR1513851	ERR1513853	ERR1513854	ERR1513855	ERR1513856	ERR1513857	ERR1513858	ERR1513859	ERR1513860	ERR1513861	ERR1513862	ERR1513863	ERR1513864	ERR1513865	ERR1513866	ERR1513867	ERR1513869	ERR1513870	ERR1513871	ERR1513872	ERR1513873	ERR1513874	ERR1513875	ERR1513876	ERR1513877	ERR1513878	ERR1513879	ERR1513880	ERR1513881	ERR1513882	ERR1513883	ERR1513884	ERR1513885	ERR1513886	ERR1513887	ERR1513888	ERR1513889	ERR1513890	ERR1513891	ERR1513892	ERR1513894	ERR1513896	ERR1513898	ERR1513899	ERR1513901	ERR1513902	ERR1513903	ERR1513904	ERR1513905	ERR1513906	ERR1513907	ERR1513908	ERR1513909	ERR1513910	ERR1513911	ERR1513912	ERR1513913	ERR1513914	ERR1513916	ERR1513917	ERR1513918	ERR1513919	ERR1513921	ERR1513922	ERR1513923	ERR1513924	ERR1513925	ERR1513926	ERR1513927	ERR1513928	ERR1513929	ERR1513930	ERR1513931	ERR1513932	ERR1513933	ERR1513934	ERR1513935	ERR1513937	ERR1513938	ERR1513939	ERR1513940	ERR1513942	ERR1513943	ERR1513944	ERR1513946	ERR1513947	ERR1513948	ERR1513949	ERR1513950	ERR1513951	ERR1513954	ERR1513955	ERR1513956	ERR1513957
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	10622.0	2693.0	2751.0	798.0	5746.0	21.0	27.0	2676.0	1129.0	84.0	39.0	1503.0	4798.0	3481.0	638.0	3642.0	13620.0	6.0	2524.0	227.0	2292.0	11.0	145.0	2814.0	1809.0	56.0	919.0	16.0	3262.0	1273.0	3722.0	0.0	1749.0	3441.0	73.0	730.0	1453.0	7.0	4071.0	608.0	73.0	100.0	22.0	160.0	2121.0	27.0	410.0	4008.0	467.0	0.0	591.0	134.0	230.0	3885.0	0.0	425.0	1851.0	89.0	10.0	39.0	0.0	264.0	5359.0	9.0	1350.0	20.0	2528.0	2896.0	14.0	71.0	469.0	18.0	833.0	4080.0	3423.0	30.0	5770.0	2886.0	30.0	11889.0	37.0	386.0	9089.0	4463.0	153.0	0.0	2691.0	10387.0	3002.0	1273.0	0.0	40.0	1571.0	29.0	4916.0	0.0	92.0	929.0	71.0	2726.0	4670.0	1465.0	8.0	0.0	0.0	10.0	63.0	343.0	13.0	2010.0	31.0	220.0	4.0	6212.0	66.0	3363.0	0.0	1142.0	1633.0	4691.0	1449.0	839.0	1379.0	0.0	2171.0	37.0	417.0	2325.0	3303.0	39.0	56.0	2948.0	2076.0	79.0	1330.0	8652.0	3637.0	12407.0	3972.0	28.0	4485.0	2929.0	6325.0	0.0	5043.0	289.0	1522.0	5.0	304.0	153.0	3370.0	1478.0	5007.0	2555.0	2481.0	10.0	5594.0	3415.0	7540.0	2211.0	0.0	73.0	729.0	101.0	877.0	99.0	434.0	3459.0	1145.0	10.0	1788.0	3638.0	10565.0	2554.0	1390.0	58.0	3497.0	8.0	4056.0	11.0	46.0	16.0	1133.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	2076.0	3471.0	2924.0	2219.0	2084.0	4451.0	1693.0	4091.0	8111.0	4936.0	3991.0	3653.0	12079.0	8076.0	4659.0	995.0	3184.0	6515.0	6203.0	13743.0	5606.0	8631.0	14805.0	4135.0	4687.0	9748.0	3617.0	4688.0	4579.0	6321.0	3666.0	2572.0	4644.0	1050.0	8763.0	2912.0	2937.0	1671.0	3709.0	5702.0	7502.0	4101.0	7923.0	13627.0	7295.0	4094.0	5324.0	4901.0	2542.0	13689.0	4808.0	5025.0	7198.0	5380.0	10802.0	8496.0	1363.0	16417.0	2737.0	1002.0	4603.0	11146.0	6905.0	6747.0	5716.0	8936.0	7967.0	3046.0	5621.0	3903.0	4447.0	4876.0	7284.0	10159.0	5270.0	7226.0	6968.0	7285.0	5026.0	6575.0	9943.0	2412.0	5468.0	4166.0	4806.0	3825.0	8748.0	2047.0	7235.0	4169.0	5814.0	6663.0	5487.0	1853.0	3436.0	7466.0	3639.0	7404.0	6664.0	2305.0	4271.0	1397.0	6190.0	2861.0	1105.0	2828.0	7973.0	3566.0	2796.0	6795.0	9611.0	9650.0	4220.0	5895.0	21024.0	3215.0	4005.0	3727.0	1698.0	2978.0	5415.0	2734.0	9970.0	1181.0	388.0	6502.0	10816.0	2329.0	3566.0	5704.0	3839.0	8247.0	1644.0	11223.0	3154.0	3515.0	6139.0	3805.0	7921.0	6741.0	2168.0	3936.0	1447.0	5530.0	4420.0	6824.0	1922.0	15529.0	6928.0	6445.0	3613.0	1896.0	4288.0	1625.0	1657.0	8683.0	3481.0	2259.0	8334.0	1116.0	5099.0	2232.0	7769.0	6056.0	3938.0	466.0	228.0	2422.0	4593.0	3606.0	336.0	4133.0	3042.0	6990.0	5083.0	4243.0	3218.0	4210.0	4051.0	7632.0	4187.0	4861.0	4569.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0	27.0	0.0	169.0	0.0	0.0	2510.0	244.0	56.0	2558.0	100.0	0.0	211.0	602.0	1468.0	154.0	0.0	3.0	467.0	7.0	93.0	3.0	129.0	364.0	2300.0	70.0	0.0	0.0	709.0	326.0	64.0	618.0	1332.0	149.0	1445.0	148.0	3272.0	172.0	839.0	156.0	0.0	0.0	0.0	1962.0	0.0	6350.0	1469.0	0.0	5.0	422.0	2694.0	0.0	0.0	9.0	0.0	362.0	41.0	4.0	58.0	117.0	7.0	0.0	606.0	45.0	79.0	3190.0	300.0	647.0	2984.0	0.0	1163.0	4323.0	239.0	4009.0	255.0	17.0	2031.0	3175.0	1418.0	5.0	10.0	827.0	537.0	2424.0	8.0	90.0	68.0	126.0	1554.0	35.0	79.0	334.0	114.0	5439.0	0.0	0.0	82.0	0.0	11.0	69.0	3.0	1413.0	2.0	5.0	402.0	150.0	88.0	4410.0	779.0	184.0	5346.0	1497.0	141.0	372.0	13.0	78.0	4185.0	333.0	664.0	432.0	772.0	18.0	1676.0	274.0	78.0	258.0	2019.0	26.0	0.0	2569.0	0.0	99.0	0.0	2029.0	0.0	2.0	427.0	0.0	936.0	5531.0	727.0	172.0	595.0	4206.0	0.0	41.0	122.0	126.0	1597.0	8.0	0.0	18.0	1633.0	493.0	2736.0	20.0	1988.0	0.0	673.0	34.0	15.0	316.0	566.0	1385.0	0.0	0.0	0.0	2725.0	1005.0	188.0	130.0	94.0	106.0	795.0	49.0	346.0	34.0	3855.0	136.0	4.0	1010.0	0.0	62.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	259.0	218.0	571.0	110.0	3371.0	4397.0	680.0	541.0	4882.0	3107.0	1359.0	814.0	2871.0	500.0	1129.0	3633.0	1394.0	2715.0	494.0	1925.0	1833.0	3740.0	2426.0	1324.0	534.0	7652.0	1328.0	4496.0	619.0	222.0	548.0	689.0	1902.0	82.0	3262.0	311.0	727.0	956.0	501.0	1279.0	1091.0	4141.0	4570.0	3848.0	1209.0	2261.0	1775.0	3578.0	1680.0	2912.0	831.0	3636.0	1641.0	109.0	3674.0	3718.0	545.0	7399.0	3700.0	291.0	3469.0	5688.0	758.0	3439.0	2969.0	2118.0	1177.0	380.0	8088.0	2991.0	3525.0	789.0	4788.0	633.0	1905.0	2790.0	1930.0	456.0	571.0	3251.0	3212.0	711.0	2273.0	1001.0	2690.0	3798.0	4952.0	6375.0	863.0	1918.0	2798.0	817.0	2240.0	4936.0	640.0	2282.0	1477.0	981.0	6467.0	1715.0	1778.0	1552.0	3276.0	1432.0	1839.0	2685.0	5438.0	2554.0	1140.0	2071.0	2329.0	3959.0	5563.0	1646.0	5677.0	106.0	1028.0	414.0	271.0	1264.0	1647.0	645.0	6105.0	3481.0	320.0	3270.0	5621.0	907.0	3260.0	367.0	8266.0	3993.0	315.0	2791.0	267.0	1000.0	2370.0	322.0	1471.0	1970.0	1245.0	2226.0	1529.0	1611.0	3803.0	13446.0	624.0	2404.0	1079.0	3145.0	176.0	1262.0	2120.0	989.0	1735.0	5791.0	1851.0	1029.0	1827.0	540.0	5312.0	1415.0	421.0	5514.0	997.0	726.0	194.0	303.0	2332.0	4137.0	333.0	1318.0	872.0	1029.0	1755.0	2283.0	1065.0	2160.0	543.0	2159.0	921.0	2225.0	1198.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	71.0	815.0	1394.0	371.0	3047.0	2478.0	1359.0	1001.0	3498.0	4496.0	4794.0	342.0	3175.0	1596.0	640.0	7008.0	2050.0	2367.0	456.0	391.0	911.0	2532.0	642.0	2515.0	1595.0	8322.0	131.0	2954.0	511.0	449.0	2407.0	3428.0	1695.0	126.0	5441.0	141.0	1262.0	1870.0	2357.0	2702.0	2238.0	1202.0	3412.0	1714.0	2252.0	223.0	3896.0	2293.0	2664.0	3454.0	4103.0	1748.0	348.0	399.0	5121.0	5823.0	927.0	1561.0	4288.0	273.0	8380.0	3066.0	178.0	4526.0	321.0	5307.0	1435.0	1122.0	8788.0	8882.0	1185.0	2229.0	4226.0	936.0	574.0	4780.0	967.0	468.0	2465.0	6333.0	289.0	918.0	2875.0	936.0	1791.0	3544.0	1862.0	824.0	1747.0	1396.0	4167.0	788.0	3944.0	4053.0	1565.0	2159.0	1459.0	754.0	4864.0	2056.0	2279.0	379.0	1610.0	2697.0	3237.0	2826.0	7973.0	4844.0	3566.0	2441.0	2973.0	3079.0	2852.0	346.0	2465.0	166.0	2376.0	217.0	718.0	3173.0	2281.0	622.0	4798.0	7722.0	1133.0	2768.0	4057.0	3080.0	1125.0	1066.0	2330.0	1477.0	281.0	8492.0	505.0	1773.0	2251.0	4.0	2298.0	2855.0	2669.0	3725.0	1516.0	2019.0	3626.0	9012.0	1205.0	3777.0	3545.0	1666.0	1277.0	2937.0	3260.0	674.0	2591.0	6472.0	2607.0	2358.0	3086.0	684.0	10428.0	5210.0	789.0	3895.0	1630.0	1861.0	0.0	735.0	1701.0	5510.0	249.0	2664.0	304.0	1374.0	3035.0	2116.0	1588.0	1109.0	716.0	1412.0	3212.0	1470.0	2331.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	313.0	65.0	16.0	20.0	131.0	336.0	14.0	76.0	195.0	60.0	179.0	1689.0	119.0	28.0	621.0	7.0	42.0	417.0	127.0	34.0	32.0	0.0	31.0	142.0	12.0	456.0	897.0	32.0	33.0	377.0	0.0	104.0	11.0	57.0	89.0	145.0	24.0	489.0	20.0	18.0	302.0	968.0	129.0	134.0	383.0	484.0	126.0	243.0	14.0	17.0	543.0	413.0	86.0	602.0	7.0	39.0	30.0	294.0	264.0	54.0	16.0	23.0	88.0	246.0	312.0	56.0	119.0	440.0	1942.0	2937.0	27.0	31.0	0.0	340.0	15.0	14.0	31.0	10.0	240.0	29.0	44.0	15.0	749.0	13.0	182.0	553.0	56.0	113.0	63.0	29.0	279.0	17.0	1224.0	635.0	17.0	12.0	133.0	661.0	2860.0	171.0	21.0	68.0	0.0	14.0	0.0	0.0	693.0	957.0	1468.0	8.0	3.0	18.0	0.0	128.0	25.0	57.0	5.0	104.0	44.0	44.0	14.0	8.0	114.0	69.0	71.0	821.0	178.0	20.0	168.0	6.0	1138.0	16.0	173.0	530.0	12.0	43.0	11.0	269.0	167.0	274.0	16.0	4.0	75.0	51.0	473.0	218.0	24.0	61.0	416.0	4.0	605.0	19.0	23.0	0.0	530.0	177.0	18.0	21.0	196.0	0.0	20.0	80.0	279.0	1942.0	25.0	5.0	0.0	143.0	119.0	0.0	40.0	64.0	78.0	0.0	9.0	12.0	18.0	167.0	101.0	2.0	72.0	12.0	132.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	389.0	3.0	277.0	2323.0	0.0	0.0	0.0	2195.0	0.0	7.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3836.0	0.0	0.0	0.0	789.0	0.0	0.0	73.0	5.0	7616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	2374.0	0.0	0.0	623.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	7329.0	0.0	81.0	0.0	806.0	0.0	4064.0	0.0	0.0	513.0	901.0	0.0	658.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	720.0	2.0	222.0	189.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	3.0	4012.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	4.0	2719.0	0.0	0.0	0.0	2025.0	0.0	0.0	1468.0	1664.0	2.0	3173.0	581.0	4.0	0.0	1862.0	0.0	1737.0	1801.0	0.0	0.0	4.0	0.0	1301.0	3.0	0.0	0.0	0.0	319.0	26.0	23.0	0.0	0.0	0.0	1115.0	1376.0	0.0	3.0	0.0	0.0	9.0	8.0	5.0	0.0	0.0	0.0	0.0	5914.0	0.0	18.0	200.0	0.0	0.0	0.0	0.0	238.0	0.0	7.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	0.0	7.0	34.0	15.0	327.0	387.0	5.0	4.0	458.0	161.0	493.0	47.0	57.0	35.0	47.0	219.0	115.0	336.0	31.0	2842.0	2466.0	254.0	7157.0	28.0	221.0	459.0	587.0	87.0	152.0	31.0	35.0	171.0	39.0	41.0	80.0	31.0	103.0	33.0	40.0	188.0	3635.0	34.0	369.0	4164.0	50.0	352.0	251.0	34.0	187.0	54.0	681.0	284.0	6238.0	33.0	30.0	846.0	27.0	2199.0	887.0	5.0	148.0	81.0	4.0	71.0	19.0	866.0	185.0	46.0	211.0	350.0	143.0	28.0	182.0	0.0	56.0	41.0	137.0	7.0	225.0	165.0	61.0	58.0	301.0	156.0	85.0	108.0	335.0	114.0	343.0	252.0	204.0	16.0	514.0	562.0	12.0	121.0	52.0	248.0	248.0	23.0	0.0	2.0	195.0	20.0	502.0	124.0	556.0	137.0	49.0	73.0	16.0	283.0	470.0	173.0	24.0	79.0	90.0	30.0	47.0	86.0	998.0	19.0	143.0	183.0	44.0	380.0	298.0	30.0	29.0	105.0	3641.0	4.0	12.0	44.0	6.0	23.0	0.0	90.0	337.0	8.0	308.0	0.0	56.0	77.0	9.0	155.0	24.0	133.0	9.0	61.0	40.0	55.0	107.0	120.0	135.0	169.0	24.0	60.0	67.0	2.0	616.0	82.0	5.0	95.0	57.0	1142.0	0.0	24.0	64.0	225.0	24.0	57.0	30.0	47.0	17.0	36.0	24.0	111.0	0.0	1287.0	591.0	13.0	3.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales	87.0	3.0	0.0	0.0	656.0	28.0	7.0	20.0	196.0	359.0	15.0	218.0	15.0	0.0	0.0	59.0	198.0	480.0	40.0	132.0	212.0	4.0	868.0	115.0	133.0	331.0	4673.0	0.0	187.0	34.0	0.0	344.0	0.0	0.0	4.0	425.0	147.0	28.0	4.0	487.0	0.0	80.0	435.0	706.0	2.0	115.0	9.0	249.0	4.0	3.0	123.0	10.0	801.0	112.0	1891.0	239.0	0.0	252.0	630.0	10.0	0.0	17.0	621.0	265.0	319.0	0.0	550.0	0.0	1094.0	23.0	0.0	2.0	70.0	181.0	131.0	227.0	13.0	4.0	0.0	40.0	586.0	109.0	800.0	0.0	30.0	0.0	27.0	110.0	0.0	0.0	128.0	5.0	610.0	21.0	3.0	23.0	0.0	63.0	8.0	148.0	16.0	49.0	9.0	0.0	1068.0	5.0	56.0	2068.0	105.0	4.0	431.0	10.0	0.0	8.0	1779.0	16.0	694.0	1560.0	13.0	6.0	75.0	64.0	2834.0	13.0	45.0	204.0	55.0	0.0	0.0	0.0	183.0	0.0	7.0	905.0	0.0	3.0	0.0	85.0	266.0	44.0	2.0	0.0	0.0	0.0	106.0	11.0	0.0	4.0	67.0	0.0	78.0	37.0	99.0	85.0	185.0	572.0	44.0	133.0	0.0	0.0	1414.0	289.0	3169.0	24.0	8.0	18.0	34.0	9.0	0.0	17.0	0.0	432.0	16.0	0.0	0.0	0.0	0.0	158.0	0.0	177.0	706.0	940.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales	0.0	38.0	31.0	19.0	0.0	28.0	118.0	59.0	63.0	27.0	64.0	429.0	93.0	50.0	846.0	184.0	0.0	306.0	850.0	12.0	85.0	535.0	12.0	0.0	0.0	697.0	1160.0	0.0	0.0	118.0	35.0	0.0	167.0	20.0	138.0	0.0	10.0	27.0	50.0	4.0	81.0	531.0	3.0	1553.0	201.0	14.0	179.0	0.0	252.0	309.0	181.0	26.0	146.0	32.0	120.0	587.0	15.0	154.0	55.0	8.0	43.0	269.0	11.0	100.0	1890.0	332.0	8.0	154.0	385.0	1635.0	11.0	20.0	94.0	0.0	0.0	506.0	12.0	133.0	62.0	108.0	0.0	90.0	561.0	24.0	194.0	130.0	170.0	96.0	23.0	8.0	143.0	0.0	481.0	150.0	19.0	0.0	34.0	241.0	47.0	0.0	35.0	18.0	365.0	7.0	173.0	107.0	28.0	0.0	59.0	49.0	161.0	347.0	812.0	2.0	0.0	0.0	0.0	0.0	30.0	165.0	141.0	39.0	50.0	231.0	17.0	0.0	386.0	3.0	32.0	75.0	566.0	72.0	2.0	0.0	48.0	150.0	45.0	3.0	45.0	823.0	11.0	0.0	127.0	35.0	37.0	96.0	8.0	106.0	1372.0	167.0	43.0	5.0	41.0	2.0	2.0	71.0	75.0	12.0	152.0	21.0	42.0	0.0	188.0	26.0	86.0	9.0	0.0	8.0	102.0	420.0	24.0	0.0	40.0	25.0	15.0	28.0	36.0	0.0	94.0	15.0	90.0	0.0	22.0
