sample-id	observed_features
ERR1513669	101
ERR1513670	121
ERR1513671	116
ERR1513672	137
ERR1513673	100
ERR1513674	122
ERR1513675	124
ERR1513676	119
ERR1513677	115
ERR1513678	128
ERR1513680	153
ERR1513681	95
ERR1513686	111
ERR1513690	120
ERR1513695	90
ERR1513699	63
ERR1513704	107
ERR1513705	84
ERR1513706	91
ERR1513709	109
ERR1513710	150
ERR1513712	123
ERR1513714	153
ERR1513715	133
ERR1513716	116
ERR1513717	201
ERR1513718	122
ERR1513719	100
ERR1513721	68
ERR1513722	119
ERR1513723	101
ERR1513724	87
ERR1513725	98
ERR1513726	45
ERR1513727	107
ERR1513728	93
ERR1513729	107
ERR1513730	94
ERR1513731	39
ERR1513732	38
ERR1513733	199
ERR1513734	161
ERR1513735	159
ERR1513736	85
ERR1513737	73
ERR1513738	74
ERR1513739	73
ERR1513740	103
ERR1513741	118
ERR1513742	79
ERR1513743	127
ERR1513744	160
ERR1513745	81
ERR1513746	89
ERR1513748	89
ERR1513749	118
ERR1513750	103
ERR1513751	140
ERR1513752	129
ERR1513753	97
ERR1513754	112
ERR1513755	57
ERR1513756	112
ERR1513757	113
ERR1513758	117
ERR1513759	125
ERR1513760	81
ERR1513761	124
ERR1513762	100
ERR1513763	132
ERR1513764	48
ERR1513765	109
ERR1513766	99
ERR1513767	90
ERR1513768	207
ERR1513769	47
ERR1513770	293
ERR1513771	147
ERR1513772	93
ERR1513774	112
ERR1513775	67
ERR1513776	119
ERR1513777	194
ERR1513841	110
ERR1513844	128
ERR1513847	136
ERR1513849	101
ERR1513854	68
ERR1513855	176
ERR1513856	163
ERR1513859	176
ERR1513860	92
ERR1513862	149
ERR1513863	92
ERR1513864	60
ERR1513865	79
ERR1513866	130
ERR1513870	167
ERR1513873	136
ERR1513877	63
ERR1513882	76
ERR1513883	150
ERR1513885	102
ERR1513886	201
ERR1513888	129
ERR1513890	182
ERR1513894	120
ERR1513896	136
ERR1513898	169
ERR1513901	139
ERR1513903	103
ERR1513904	110
ERR1513905	45
ERR1513909	130
ERR1513913	207
ERR1513916	215
ERR1513917	106
ERR1513918	106
ERR1513921	141
ERR1513923	69
ERR1513927	171
ERR1513930	146
ERR1513940	179
ERR1513942	89
ERR1513944	78
ERR1513946	159
ERR1513947	161
ERR1513948	152
ERR1513950	106
ERR1513951	75
ERR1513954	148
ERR1513955	215
ERR1513956	90
ERR1513958	104
ERR1513959	131
ERR1513960	108
ERR1513961	99
ERR1513962	105
ERR1513963	104
ERR1513965	164
ERR1513966	103
ERR1513967	109
ERR1513968	85
ERR1513969	75
ERR1513970	52
ERR1513971	247
ERR1513973	65
ERR1513974	108
ERR1513975	90
ERR1513976	74
ERR1513977	199
ERR1513978	75
ERR1513979	117
ERR1513980	114
ERR1513981	172
ERR1513983	138
ERR1513984	135
ERR1513985	86
ERR1513986	120
ERR1513987	122
ERR1513988	211
ERR1513989	200
ERR1513990	98
ERR1513991	149
ERR1513992	87
ERR1513993	211
ERR1513994	76
ERR1513995	94
ERR1513996	131
ERR1513997	105
ERR1513998	170
ERR1513999	141
ERR1514000	85
ERR1514001	106
ERR1514002	72
ERR1514003	86
ERR1514004	141
ERR1514005	207
ERR1514006	117
ERR1514007	124
ERR1514008	127
ERR1514009	83
ERR1514010	133
ERR1514011	88
ERR1514012	89
ERR1514013	126
ERR1514014	116
ERR1514015	34
