# Constructed from biom file
#OTU ID	ERR1513669	ERR1513670	ERR1513671	ERR1513672	ERR1513673	ERR1513674	ERR1513675	ERR1513676	ERR1513677	ERR1513678	ERR1513680	ERR1513681	ERR1513686	ERR1513690	ERR1513695	ERR1513699	ERR1513704	ERR1513705	ERR1513706	ERR1513709	ERR1513710	ERR1513712	ERR1513714	ERR1513715	ERR1513716	ERR1513717	ERR1513718	ERR1513719	ERR1513721	ERR1513722	ERR1513723	ERR1513724	ERR1513725	ERR1513726	ERR1513727	ERR1513728	ERR1513729	ERR1513730	ERR1513731	ERR1513732	ERR1513733	ERR1513734	ERR1513735	ERR1513736	ERR1513737	ERR1513738	ERR1513739	ERR1513740	ERR1513741	ERR1513742	ERR1513743	ERR1513744	ERR1513745	ERR1513746	ERR1513748	ERR1513749	ERR1513750	ERR1513751	ERR1513752	ERR1513753	ERR1513754	ERR1513755	ERR1513756	ERR1513757	ERR1513758	ERR1513759	ERR1513760	ERR1513761	ERR1513762	ERR1513763	ERR1513764	ERR1513765	ERR1513766	ERR1513767	ERR1513768	ERR1513769	ERR1513770	ERR1513771	ERR1513772	ERR1513774	ERR1513775	ERR1513776	ERR1513777	ERR1513841	ERR1513844	ERR1513847	ERR1513849	ERR1513854	ERR1513855	ERR1513856	ERR1513859	ERR1513860	ERR1513862	ERR1513863	ERR1513864	ERR1513865	ERR1513866	ERR1513870	ERR1513873	ERR1513877	ERR1513882	ERR1513883	ERR1513885	ERR1513886	ERR1513888	ERR1513890	ERR1513894	ERR1513896	ERR1513898	ERR1513901	ERR1513903	ERR1513904	ERR1513905	ERR1513909	ERR1513913	ERR1513916	ERR1513917	ERR1513918	ERR1513921	ERR1513923	ERR1513927	ERR1513930	ERR1513940	ERR1513942	ERR1513944	ERR1513946	ERR1513947	ERR1513948	ERR1513950	ERR1513951	ERR1513954	ERR1513955	ERR1513956	ERR1513958	ERR1513959	ERR1513960	ERR1513961	ERR1513962	ERR1513963	ERR1513965	ERR1513966	ERR1513967	ERR1513968	ERR1513969	ERR1513970	ERR1513971	ERR1513973	ERR1513974	ERR1513975	ERR1513976	ERR1513977	ERR1513978	ERR1513979	ERR1513980	ERR1513981	ERR1513983	ERR1513984	ERR1513985	ERR1513986	ERR1513987	ERR1513988	ERR1513989	ERR1513990	ERR1513991	ERR1513992	ERR1513993	ERR1513994	ERR1513995	ERR1513996	ERR1513997	ERR1513998	ERR1513999	ERR1514000	ERR1514001	ERR1514002	ERR1514003	ERR1514004	ERR1514005	ERR1514006	ERR1514007	ERR1514008	ERR1514009	ERR1514010	ERR1514011	ERR1514012	ERR1514013	ERR1514014	ERR1514015
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	3459.0	249.0	9099.0	5116.0	9449.0	5747.0	1032.0	3998.0	3200.0	77.0	1491.0	38.0	5745.0	2631.0	1503.0	3474.0	6.0	2197.0	227.0	2292.0	11.0	2340.0	46.0	1410.0	2175.0	54.0	8.0	0.0	4195.0	5623.0	5993.0	122.0	2241.0	5501.0	255.0	246.0	1900.0	7.0	5831.0	8030.0	1889.0	91.0	73.0	1554.0	6549.0	593.0	48.0	1941.0	1680.0	2048.0	1549.0	0.0	6482.0	30.0	4.0	65.0	5573.0	57.0	45.0	27.0	6.0	4991.0	6112.0	2535.0	15.0	2961.0	10089.0	7.0	12.0	7.0	4579.0	0.0	3231.0	724.0	0.0	0.0	3419.0	21.0	5808.0	403.0	20.0	1144.0	473.0	350.0	153.0	2691.0	10385.0	40.0	1571.0	29.0	92.0	365.0	2726.0	4670.0	1456.0	8.0	0.0	63.0	2010.0	5282.0	1626.0	4687.0	839.0	1379.0	2171.0	417.0	39.0	56.0	2923.0	79.0	8652.0	3634.0	11966.0	2928.0	289.0	5.0	304.0	153.0	1471.0	2555.0	2967.0	0.0	10.0	1788.0	30.0	2554.0	1385.0	58.0	8.0	4056.0	11.0	46.0	16.0	3957.0	6.0	3055.0	9.0	0.0	7.0	2816.0	1626.0	0.0	2108.0	3236.0	9343.0	239.0	17773.0	5417.0	5869.0	0.0	5051.0	1497.0	1356.0	6105.0	277.0	3382.0	5.0	2047.0	466.0	410.0	7.0	4303.0	3401.0	5503.0	1168.0	2844.0	1053.0	1577.0	8.0	32.0	1638.0	4009.0	876.0	0.0	948.0	3117.0	524.0	2016.0	2614.0	5.0	1763.0	16.0	0.0	3225.0	236.0	6073.0	3808.0	3886.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	2949.0	2145.0	2403.0	110.0	390.0	3763.0	1532.0	2922.0	1418.0	4716.0	4122.0	4583.0	1490.0	3176.0	3146.0	4059.0	5462.0	4391.0	9116.0	3027.0	4161.0	711.0	7811.0	2381.0	3864.0	2773.0	2106.0	3300.0	7738.0	6518.0	6997.0	5935.0	2701.0	4427.0	4611.0	10552.0	2382.0	6210.0	942.0	2829.0	6705.0	3637.0	3039.0	8969.0	8438.0	4873.0	31.0	7104.0	3571.0	1291.0	2922.0	4675.0	7642.0	3539.0	2072.0	3073.0	5413.0	7593.0	4576.0	5855.0	3820.0	3333.0	2836.0	5617.0	3593.0	3429.0	3585.0	1008.0	11043.0	4628.0	3142.0	4128.0	4901.0	1281.0	1691.0	3424.0	7464.0	5762.0	5374.0	571.0	6184.0	3112.0	4047.0	1622.0	4063.0	7254.0	1572.0	4571.0	3771.0	1377.0	1917.0	4052.0	1449.0	3455.0	1215.0	5692.0	1267.0	5426.0	2705.0	5435.0	810.0	2047.0	2019.0	8768.0	252.0	7672.0	3391.0	1785.0	3707.0	6697.0	1672.0	5241.0	2247.0	2831.0	3534.0	1916.0	3366.0	5517.0	1069.0	1060.0	86.0	3850.0	1686.0	131.0	2127.0	1453.0	2588.0	3092.0	3148.0	2660.0	6412.0	752.0	1279.0	4093.0	4579.0	4068.0	2817.0	231.0	3956.0	1768.0	3091.0	361.0	3370.0	6314.0	2099.0	5386.0	2459.0	2474.0	4743.0	4604.0	2098.0	4582.0	2118.0	3683.0	1581.0	435.0	5321.0	2675.0	9180.0	1787.0	2359.0	2012.0	3330.0	3111.0	5397.0	1229.0	746.0	1498.0	1177.0	5534.0	3705.0	2008.0	1527.0	2462.0	2578.0	2634.0	1858.0	6071.0	1316.0	2365.0	1217.0	1619.0	3445.0	1020.0	3493.0	3962.0	3258.0	2002.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	1052.0	2579.0	1337.0	1252.0	7431.0	1177.0	605.0	770.0	1069.0	8267.0	1829.0	1714.0	3371.0	541.0	814.0	486.0	2713.0	494.0	1928.0	1833.0	3732.0	1322.0	7628.0	3244.0	1773.0	4250.0	2507.0	1788.0	1882.0	1261.0	2925.0	3539.0	690.0	601.0	6131.0	3915.0	2590.0	2397.0	927.0	2850.0	4318.0	3137.0	3562.0	2473.0	4459.0	2575.0	6512.0	4271.0	3060.0	223.0	1531.0	6437.0	2448.0	1265.0	8100.0	2985.0	1941.0	6163.0	3124.0	4025.0	4167.0	322.0	770.0	1127.0	1661.0	3006.0	695.0	3751.0	7484.0	2544.0	376.0	1398.0	2031.0	1485.0	2858.0	1186.0	3810.0	5742.0	3314.0	596.0	2007.0	745.0	7751.0	711.0	2687.0	4952.0	6375.0	817.0	2238.0	4904.0	1471.0	913.0	1703.0	1778.0	1552.0	3273.0	1428.0	5420.0	2071.0	1646.0	271.0	1264.0	645.0	6101.0	320.0	5609.0	363.0	8247.0	3992.0	2791.0	995.0	2375.0	322.0	2226.0	13444.0	2389.0	1079.0	3140.0	1262.0	981.0	1029.0	5298.0	4136.0	333.0	872.0	1029.0	1755.0	2278.0	2158.0	543.0	2147.0	921.0	2225.0	2878.0	7303.0	1693.0	1556.0	1061.0	1922.0	1157.0	3802.0	1122.0	1514.0	1369.0	789.0	7637.0	2291.0	829.0	1152.0	5238.0	1422.0	1217.0	960.0	1847.0	2318.0	775.0	1794.0	2455.0	12412.0	344.0	2516.0	1909.0	1858.0	2217.0	2171.0	5018.0	8867.0	742.0	2147.0	4065.0	2978.0	1313.0	594.0	3468.0	1345.0	2001.0	2279.0	6931.0	2036.0	1985.0	4735.0	2104.0	2416.0	255.0	1639.0	2841.0	943.0	241.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	258.0	2635.0	682.0	771.0	1042.0	547.0	991.0	940.0	874.0	3917.0	1740.0	2236.0	2922.0	454.0	297.0	739.0	2013.0	273.0	323.0	767.0	1891.0	1893.0	5886.0	1820.0	1741.0	5565.0	2491.0	1750.0	105.0	520.0	629.0	442.0	613.0	16.0	3616.0	501.0	1150.0	1530.0	0.0	7.0	3845.0	2759.0	3179.0	255.0	92.0	424.0	1732.0	1306.0	1242.0	116.0	1078.0	4018.0	204.0	984.0	2803.0	2354.0	1539.0	1479.0	3466.0	327.0	2415.0	82.0	1212.0	1794.0	1651.0	1796.0	284.0	1856.0	4453.0	2422.0	72.0	290.0	1384.0	520.0	1751.0	121.0	2661.0	4292.0	1859.0	290.0	256.0	795.0	4250.0	583.0	860.0	980.0	286.0	545.0	1963.0	2396.0	770.0	249.0	1304.0	1899.0	282.0	1379.0	1689.0	6809.0	1843.0	240.0	468.0	2224.0	328.0	3385.0	477.0	1322.0	355.0	1262.0	985.0	4260.0	1036.0	1951.0	4.0	2662.0	5425.0	2646.0	2519.0	1279.0	2268.0	424.0	958.0	9577.0	4323.0	157.0	304.0	526.0	2259.0	1487.0	621.0	565.0	666.0	701.0	1046.0	2159.0	2755.0	642.0	2442.0	914.0	1627.0	1213.0	1167.0	990.0	372.0	1109.0	124.0	4585.0	48.0	1309.0	381.0	1791.0	1433.0	1196.0	1167.0	990.0	478.0	564.0	4531.0	1137.0	2320.0	919.0	3448.0	2680.0	1385.0	2045.0	2976.0	2867.0	1346.0	1065.0	1593.0	338.0	4368.0	940.0	737.0	402.0	257.0	833.0	1746.0	6286.0	925.0	1454.0	4968.0	1738.0	1682.0	376.0	1334.0	3136.0	636.0	93.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	68.0	201.0	152.0	5.0	212.0	281.0	141.0	449.0	663.0	628.0	560.0	529.0	422.0	207.0	279.0	819.0	668.0	945.0	1529.0	430.0	848.0	256.0	478.0	2127.0	374.0	108.0	442.0	199.0	0.0	256.0	676.0	717.0	549.0	2000.0	1301.0	1476.0	558.0	318.0	2035.0	0.0	740.0	442.0	120.0	1102.0	3511.0	215.0	0.0	778.0	119.0	164.0	77.0	460.0	416.0	128.0	139.0	572.0	90.0	5.0	549.0	652.0	0.0	731.0	1550.0	329.0	110.0	462.0	531.0	323.0	350.0	418.0	245.0	1001.0	356.0	83.0	243.0	0.0	1506.0	1389.0	697.0	44.0	399.0	229.0	1774.0	384.0	164.0	793.0	136.0	1044.0	605.0	100.0	384.0	1568.0	375.0	420.0	148.0	410.0	237.0	438.0	219.0	4.0	31.0	263.0	374.0	494.0	107.0	2111.0	666.0	5.0	383.0	760.0	0.0	363.0	1550.0	391.0	1269.0	4439.0	597.0	318.0	145.0	0.0	19.0	414.0	144.0	30.0	873.0	114.0	477.0	756.0	745.0	782.0	289.0	550.0	157.0	415.0	0.0	210.0	14.0	78.0	258.0	684.0	0.0	274.0	5.0	244.0	572.0	2806.0	57.0	210.0	1134.0	0.0	552.0	376.0	469.0	89.0	209.0	36.0	342.0	770.0	3349.0	181.0	279.0	275.0	363.0	148.0	234.0	370.0	14.0	169.0	208.0	236.0	565.0	518.0	260.0	249.0	559.0	332.0	777.0	2856.0	427.0	292.0	5.0	42.0	720.0	237.0	414.0	473.0	261.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	0.0	0.0	267.0	9.0	0.0	13.0	0.0	335.0	369.0	7.0	119.0	87.0	0.0	244.0	0.0	602.0	3.0	467.0	7.0	93.0	3.0	364.0	70.0	76.0	6.0	179.0	0.0	3.0	53.0	150.0	19.0	0.0	300.0	0.0	414.0	3748.0	0.0	5.0	0.0	0.0	261.0	175.0	1166.0	924.0	1537.0	471.0	8.0	2624.0	88.0	0.0	270.0	197.0	0.0	0.0	0.0	62.0	10.0	914.0	69.0	2103.0	2.0	5.0	2358.0	7.0	454.0	35.0	222.0	75.0	28.0	5.0	0.0	0.0	0.0	110.0	65.0	0.0	4228.0	1031.0	167.0	77.0	2072.0	0.0	212.0	827.0	8.0	68.0	126.0	334.0	114.0	5439.0	82.0	0.0	69.0	3.0	1413.0	2.0	5.0	88.0	184.0	372.0	664.0	432.0	18.0	1676.0	78.0	2019.0	2569.0	0.0	99.0	2029.0	2.0	427.0	0.0	172.0	41.0	126.0	1597.0	8.0	18.0	493.0	0.0	15.0	188.0	130.0	106.0	795.0	49.0	346.0	3855.0	136.0	4.0	1010.0	0.0	0.0	3.0	0.0	144.0	37.0	0.0	157.0	0.0	74.0	800.0	53.0	6.0	306.0	0.0	64.0	0.0	0.0	163.0	499.0	237.0	766.0	503.0	3.0	559.0	0.0	0.0	456.0	230.0	243.0	0.0	381.0	586.0	516.0	0.0	0.0	0.0	356.0	418.0	2610.0	72.0	161.0	18.0	0.0	6.0	21.0	636.0	29.0	0.0	0.0	18.0	0.0	0.0	262.0	2441.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	55.0	0.0	1122.0	95.0	19.0	612.0	178.0	255.0	338.0	290.0	2183.0	479.0	148.0	617.0	41.0	2411.0	169.0	506.0	48.0	27.0	586.0	668.0	950.0	1012.0	493.0	2024.0	159.0	127.0	679.0	103.0	118.0	91.0	132.0	510.0	224.0	246.0	237.0	594.0	4.0	0.0	2913.0	1298.0	879.0	238.0	0.0	105.0	11.0	190.0	764.0	314.0	659.0	1253.0	0.0	138.0	7.0	501.0	438.0	2.0	1030.0	506.0	555.0	203.0	178.0	290.0	1276.0	808.0	334.0	661.0	28.0	160.0	19.0	975.0	900.0	349.0	738.0	0.0	1216.0	2156.0	86.0	92.0	64.0	717.0	1390.0	407.0	497.0	260.0	319.0	603.0	874.0	83.0	718.0	1513.0	229.0	396.0	34.0	0.0	899.0	1536.0	1346.0	237.0	855.0	433.0	191.0	412.0	15.0	398.0	955.0	1050.0	422.0	3398.0	1794.0	429.0	5.0	693.0	1063.0	1930.0	893.0	404.0	611.0	438.0	268.0	784.0	387.0	148.0	8.0	4498.0	544.0	307.0	211.0	359.0	329.0	685.0	128.0	588.0	682.0	404.0	354.0	48.0	1322.0	430.0	7076.0	229.0	384.0	0.0	0.0	2947.0	7.0	274.0	335.0	395.0	745.0	427.0	480.0	615.0	453.0	78.0	820.0	0.0	25.0	91.0	590.0	308.0	693.0	1029.0	296.0	1323.0	9.0	74.0	195.0	591.0	1186.0	58.0	125.0	1233.0	63.0	96.0	485.0	546.0	119.0	479.0	182.0	0.0	819.0	62.0	89.0	1282.0	468.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	84.0	128.0	210.0	88.0	17.0	5.0	44.0	0.0	885.0	26.0	196.0	131.0	76.0	1689.0	28.0	417.0	127.0	34.0	32.0	0.0	142.0	456.0	11.0	208.0	612.0	117.0	75.0	30.0	33.0	57.0	12.0	0.0	19.0	130.0	0.0	30.0	41.0	29.0	29.0	154.0	53.0	105.0	134.0	20.0	10.0	184.0	24.0	395.0	41.0	5.0	60.0	15.0	5.0	16.0	19.0	33.0	24.0	287.0	11.0	6.0	16.0	18.0	68.0	0.0	196.0	19.0	0.0	60.0	7.0	0.0	33.0	0.0	43.0	15.0	0.0	43.0	24.0	12.0	39.0	9.0	0.0	0.0	15.0	182.0	56.0	113.0	17.0	1224.0	635.0	133.0	661.0	171.0	21.0	68.0	0.0	14.0	693.0	8.0	128.0	44.0	44.0	8.0	114.0	71.0	178.0	6.0	1138.0	16.0	530.0	43.0	11.0	269.0	4.0	218.0	61.0	416.0	4.0	19.0	0.0	21.0	20.0	0.0	40.0	78.0	0.0	9.0	12.0	167.0	101.0	2.0	72.0	12.0	49.0	181.0	0.0	54.0	48.0	8.0	3.0	1987.0	331.0	28.0	17.0	161.0	35.0	18.0	9.0	0.0	19.0	41.0	168.0	41.0	14.0	29.0	6.0	0.0	15.0	82.0	153.0	68.0	15.0	23.0	10.0	11.0	27.0	7308.0	0.0	5.0	15.0	442.0	14.0	19.0	0.0	0.0	0.0	53.0	82.0	196.0	361.0	300.0	58.0	12.0	9.0	0.0	21.0	33.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	345.0	35.0	15.0	51.0	493.0	12.0	0.0	339.0	1334.0	11.0	3.0	258.0	11.0	25.0	173.0	2.0	0.0	229.0	2177.0	1780.0	2877.0	1934.0	0.0	1943.0	375.0	318.0	64.0	0.0	0.0	1659.0	750.0	22.0	230.0	0.0	0.0	0.0	19.0	29.0	0.0	0.0	0.0	13.0	91.0	3.0	3.0	4.0	2.0	99.0	0.0	178.0	0.0	3.0	0.0	17.0	0.0	957.0	21.0	1193.0	13.0	4581.0	15.0	0.0	4.0	0.0	2.0	1116.0	0.0	38.0	3.0	277.0	10.0	4713.0	756.0	46.0	1127.0	0.0	426.0	719.0	0.0	10.0	444.0	353.0	847.0	0.0	61.0	275.0	0.0	431.0	72.0	194.0	109.0	55.0	32.0	0.0	0.0	5.0	0.0	21.0	2287.0	214.0	0.0	72.0	96.0	20.0	5.0	480.0	15.0	105.0	892.0	8.0	18.0	0.0	0.0	0.0	129.0	6908.0	1808.0	10.0	41.0	0.0	1781.0	0.0	1227.0	5.0	33.0	298.0	280.0	0.0	56.0	4.0	193.0	1483.0	2624.0	52.0	12.0	399.0	20.0	1110.0	25.0	21.0	0.0	44.0	0.0	202.0	0.0	49.0	0.0	23.0	0.0	0.0	375.0	0.0	993.0	0.0	114.0	2721.0	2.0	0.0	275.0	67.0	67.0	297.0	2.0	0.0	0.0	126.0	0.0	3.0	288.0	0.0	145.0	13.0	4846.0	0.0	0.0	0.0	6.0	11719.0	1821.0	131.0	44.0	0.0	0.0	1354.0	86.0	5.0	69.0	138.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.0	0.0	474.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	351.0	0.0	0.0	48.0	0.0	1081.0	0.0	806.0	0.0	0.0	783.0	0.0	0.0	0.0	0.0	559.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	148.0	2461.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	23.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5527.0	4.0	0.0	0.0	0.0	0.0	122.0	21.0	0.0	0.0	0.0	14734.0	12.0	0.0	107.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	898.0	0.0	4670.0	0.0	9.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
