study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB30615	SAMEA5206855	ERX3119976	ERR3046386	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046386/ERR3046386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/006/ERR3046386/ERR3046386_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046386/IfmP02_S13_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046386/IfmP02_S13_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/006/ERR3046386	
PRJEB30615	SAMEA5206856	ERX3119977	ERR3046387	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/007/ERR3046387/ERR3046387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/007/ERR3046387/ERR3046387_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046387/IfmP03_S25_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046387/IfmP03_S25_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/007/ERR3046387	
PRJEB30615	SAMEA5206861	ERX3119982	ERR3046392	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046392/ERR3046392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046392/ERR3046392_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046392/IfmP08_S85_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046392/IfmP08_S85_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/002/ERR3046392	
PRJEB30615	SAMEA5206863	ERX3119984	ERR3046394	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/004/ERR3046394/ERR3046394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/004/ERR3046394/ERR3046394_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046394/IfmP10_S14_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046394/IfmP10_S14_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/004/ERR3046394	
PRJEB30615	SAMEA5206866	ERX3119987	ERR3046397	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/007/ERR3046397/ERR3046397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/007/ERR3046397/ERR3046397_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046397/IfmP13_S81_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046397/IfmP13_S81_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/007/ERR3046397	
PRJEB30615	SAMEA5206869	ERX3119990	ERR3046400	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046400/ERR3046400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046400/ERR3046400_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046400/IfmP16_S86_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046400/IfmP16_S86_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/000/ERR3046400	
PRJEB30615	SAMEA5206870	ERX3119991	ERR3046401	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/001/ERR3046401/ERR3046401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/001/ERR3046401/ERR3046401_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046401/IfmP17_S3_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046401/IfmP17_S3_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/001/ERR3046401	
PRJEB30615	SAMEA5206871	ERX3119992	ERR3046402	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046402/ERR3046402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/002/ERR3046402/ERR3046402_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046402/IfmP18_S15_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046402/IfmP18_S15_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/002/ERR3046402	
PRJEB30615	SAMEA5206872	ERX3119993	ERR3046403	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046403/ERR3046403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/003/ERR3046403/ERR3046403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046403/IfmP19_S22_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046403/IfmP19_S22_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/003/ERR3046403	
PRJEB30615	SAMEA5206873	ERX3119994	ERR3046404	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/004/ERR3046404/ERR3046404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/004/ERR3046404/ERR3046404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046404/IfmP20_S39_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046404/IfmP20_S39_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/004/ERR3046404	
PRJEB30615	SAMEA5206854	ERX3119975	ERR3046385	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046385/ERR3046385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/005/ERR3046385/ERR3046385_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046385/IfmP01_S1_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046385/IfmP01_S1_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/005/ERR3046385	
PRJEB30615	SAMEA5206879	ERX3120000	ERR3046410	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046410/ERR3046410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/000/ERR3046410/ERR3046410_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046410/IfmP26_S16_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046410/IfmP26_S16_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/000/ERR3046410	
PRJEB30615	SAMEA5206858	ERX3119979	ERR3046389	1861841	feces metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/009/ERR3046389/ERR3046389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR304/009/ERR3046389/ERR3046389_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046389/IfmP05_S49_L001_R1_Run1.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR304/ERR3046389/IfmP05_S49_L001_R2_Run1.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR304/009/ERR3046389	
