# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	29560.0	688.0	12340.0	216.0	92568.0	50280.0	148.0	52264.0	45192.0	2440.0	136.0	168.0	35268.0	81688.0	23056.0	1296.0	2068.0	0.0	22376.0	1368104.0	48.0	154564.0	27468.0	256112.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	76356.0	11100.0	50996.0	140.0	70212.0	24252.0	52.0	1112.0	61792.0	192.0	1512.0	324.0	1292.0	3148.0	1504.0	0.0	19468.0	5008.0	24476.0	308740.0	28.0	126420.0	2912.0	716624.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	904.0	68.0	264.0	20.0	3852.0	1636.0	12.0	24.0	57208.0	24.0	3556.0	160.0	0.0	2608.0	6844.0	4.0	0.0	7240.0	14104.0	355320.0	0.0	75180.0	180.0	922372.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	69840.0	59768.0	218428.0	4164.0	1800.0	55744.0	456.0	67464.0	58200.0	66468.0	332.0	3468.0	23844.0	5220.0	47284.0	94100.0	42320.0	62688.0	20640.0	86496.0	24800.0	61504.0	17764.0	527444.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	3572.0	10776.0	16024.0	6032.0	7152.0	104628.0	5840.0	84504.0	6168.0	45116.0	552.0	319596.0	168.0	77248.0	8884.0	79656.0	284.0	940.0	4172.0	2816.0	5940.0	4920.0	3224.0	302824.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	71824.0	146792.0	42304.0	178988.0	19388.0	3024.0	25112.0	37712.0	23400.0	61312.0	149228.0	15884.0	28268.0	90820.0	58788.0	98680.0	968.0	32236.0	29928.0	24044.0	76948.0	30984.0	600.0	259344.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	7844.0	1380.0	19384.0	9548.0	5472.0	36.0	3056.0	4720.0	21856.0	3048.0	0.0	219244.0	10204.0	17856.0	31740.0	5948.0	3116.0	4124.0	3236.0	39152.0	5204.0	13872.0	3724.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	212256.0	11380.0	29980.0	40192.0	6344.0	0.0	8.0	99084.0	1848.0	20.0	18208.0	52.0	70824.0	56300.0	4152.0	3204.0	52.0	0.0	1140.0	2852.0	33536.0	1780.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	42224.0	52180.0	12712.0	4856.0	6684.0	0.0	6772.0	5700.0	3036.0	492.0	39600.0	120.0	5488.0	26280.0	50940.0	8092.0	364.0	1772.0	5556.0	25616.0	1000.0	172.0	0.0	34964.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.0	38240.0	24.0	104.0	848.0	4.0	46140.0	48.0	33232.0	42676.0	8.0	240.0	0.0	114624.0	92368.0	0.0	0.0	0.0	3796.0	15648.0	0.0	24336.0	16.0	0.0
