# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	31808.0	3536.0	18524.0	4840.0	102272.0	58088.0	2272.0	55012.0	110100.0	5088.0	4144.0	1692.0	36484.0	87944.0	35276.0	1920.0	3692.0	7720.0	41492.0	1730852.0	1676.0	296868.0	28972.0	1195472.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	76356.0	11104.0	51004.0	140.0	70248.0	24256.0	52.0	1120.0	61820.0	192.0	1512.0	388.0	1296.0	3148.0	1532.0	0.0	19556.0	5008.0	24476.0	308752.0	28.0	126428.0	2972.0	716636.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	87564.0	155324.0	253640.0	59420.0	19564.0	185824.0	8740.0	261648.0	72184.0	134672.0	1508.0	325648.0	24292.0	82508.0	56240.0	174796.0	47120.0	81416.0	34284.0	92320.0	31080.0	68772.0	31112.0	840208.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	364664.0	391916.0	197436.0	199052.0	56372.0	10824.0	44228.0	114892.0	73772.0	75928.0	235860.0	143116.0	85184.0	147812.0	175868.0	202768.0	22676.0	63596.0	152308.0	140804.0	174792.0	54936.0	11204.0	496016.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	19900.0	28244.0	33152.0	22636.0	8480.0	1672.0	4472.0	11592.0	37304.0	18372.0	13744.0	267700.0	11800.0	33256.0	42644.0	18392.0	7140.0	5092.0	8320.0	84540.0	9448.0	21772.0	4092.0	126432.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	213060.0	53900.0	41064.0	83928.0	77464.0	10520.0	53888.0	106476.0	47000.0	61912.0	35120.0	3396.0	88764.0	175760.0	122928.0	4340.0	23500.0	3244.0	111648.0	77480.0	36308.0	58032.0	4108.0	34512.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	8348.0	1624.0	100.0	1488.0	2704.0	5220.0	24.0	460.0	872.0	12.0	496.0	164.0	1116.0	188.0	4.0	6656.0	140.0	101276.0	536.0	28.0	20440.0	264.0	2212.0	684.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	81436.0	4500.0	41892.0	24060.0	13392.0	16988.0	104.0	15244.0	1808.0	16760.0	0.0	20060.0	980.0	1712.0	28.0	1780.0	2520.0	564.0	1600.0	596.0	20392.0	1092.0	1000.0	336.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	1808.0	150848.0	30512.0	22984.0	21984.0	9376.0	4880.0	6488.0	14752.0	4008.0	29832.0	8700.0	5400.0	18032.0	12596.0	12316.0	184036.0	3476.0	15588.0	8224.0	39180.0	14972.0	6856.0	66472.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	8.0	0.0	0.0	0.0	119528.0	4.0	4808.0	24.0	0.0	0.0	12.0	128.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	16.0	0.0	0.0	16.0
