# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes	776472.0	902236.0	592896.0	376576.0	486468.0	320516.0	122856.0	549172.0	393684.0	334052.0	308728.0	484100.0	259264.0	519820.0	411920.0	396324.0	409384.0	164648.0	389148.0	2377460.0	283824.0	622092.0	86164.0	3366700.0
d__Bacteria;p__Actinobacteriota	104140.0	33000.0	77644.0	47616.0	29644.0	19528.0	5044.0	27440.0	40716.0	36508.0	14824.0	291500.0	13752.0	40004.0	42988.0	21260.0	9688.0	5800.0	10104.0	90612.0	32272.0	23580.0	5216.0	129032.0
d__Bacteria;p__Proteobacteria	8764.0	7976.0	276.0	1616.0	2736.0	5292.0	24.0	564.0	924.0	68.0	824.0	852.0	1176.0	268.0	60.0	6740.0	508.0	101316.0	572.0	104.0	20644.0	324.0	2332.0	1516.0
d__Bacteria;p__Verrucomicrobiota	0.0	5492.0	280.0	448.0	3348.0	0.0	20.0	0.0	3696.0	1068.0	0.0	36.0	36.0	0.0	0.0	0.0	21116.0	0.0	60.0	188.0	22620.0	0.0	2624.0	1164.0
d__Bacteria;p__Bacteroidota	308.0	64768.0	96.0	252.0	3924.0	14404.0	804.0	968.0	132.0	792.0	80.0	796.0	1884.0	260.0	176.0	68.0	151332.0	724.0	460.0	0.0	2656.0	276.0	23700.0	7684.0
d__Bacteria;p__Cyanobacteria	72.0	56.0	40.0	40.0	12.0	28.0	12.0	12.0	12.0	608.0	12.0	296.0	832.0	64.0	4.0	60.0	11080.0	0.0	60.0	28.0	1672.0	8.0	0.0	224.0
d__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	64.0	0.0	12.0	0.0	0.0	1776.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	4.0	0.0	0.0	0.0	0.0	268.0
d__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1012.0
d__Bacteria;p__Desulfobacterota	0.0	16.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	1004.0	0.0	12.0	0.0	0.0	0.0	72.0	24.0
d__Bacteria;__	36.0	124.0	36.0	4.0	144.0	28.0	28.0	0.0	76.0	52.0	48.0	4.0	8.0	44.0	56.0	20.0	164.0	40.0	16.0	0.0	28.0	4.0	0.0	44.0
d__Bacteria;p__Patescibacteria	8.0	8.0	4.0	4.0	0.0	0.0	4.0	0.0	4.0	0.0	8.0	8.0	4.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	8.0
d__Bacteria;p__Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Bdellovibrionota	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0
d__Bacteria;p__Synergistota	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Deinococcota	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Eukaryota;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Dadabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
