# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0.033220948527759045	0.0006787178546202139	0.01838290062507821	0.0005063718457253777	0.17586977338014684	0.1397458559850582	0.0011489969567107633	0.09039774732079231	0.10288586753603919	0.006507777327330531	0.0004190701572745649	0.0002160471600086419	0.12733968804159446	0.145749623528908	0.050649818542895055	0.0030532049228217647	0.003420556419332429	0.0	0.05587909178994895	0.5542490819934597	0.00013196674438041613	0.23915801721843646	0.22869417524228194	0.07301464215663915
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	0.08581254214430209	0.010950244456808684	0.07596875204833779	0.0003282039740812633	0.13339564999316036	0.06740486275556148	0.00040370163343891684	0.0019233563259743046	0.1406780741455774	0.0005120873962489598	0.004659074101464281	0.0004166623800166665	0.0046649335644136335	0.005616734586095905	0.003304013145754431	0.0	0.032200866717390586	0.01837555405524408	0.061123375520682456	0.12507737830944193	7.698060088857608e-05	0.19561059843660064	0.024244846304992174	0.20430141860146878
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter	0.0010159586423915486	6.708257865432348e-05	0.00039328085616050624	4.688628201160904e-05	0.007318407733345493	0.004547021089728624	9.31619154089808e-05	4.151128761095621e-05	0.13024196118785913	6.401092453111997e-05	0.010957452053443771	0.00020575920000823038	0.0	0.004653254066244638	0.015035017266983594	9.423471984017792e-06	0.0	0.026565297795520592	0.03522160844679299	0.14394796288433928	0.0	0.11632656850548675	0.0014986512139074832	0.2629578524836929
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.07848954821308159	0.05896164060311184	0.3253922380660116	0.009761723914817003	0.0034198166978249966	0.15493223938009315	0.003540152785541271	0.11668822947439791	0.1325003870286219	0.17727825548893678	0.001023024207464379	0.004459830660178393	0.08609185441941075	0.009313645025228915	0.10387430690415726	0.22168717842401856	0.06999900757550696	0.23001731881292747	0.05154381723920926	0.03504143588214514	0.06818281792988166	0.09516559283534792	0.14790022313251408	0.15036833462573554
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.004014385255113509	0.010630615699691025	0.023870956208772547	0.014140902654701288	0.013588071679357987	0.29079811893406265	0.04533879883237066	0.14616124367817682	0.014042309058291064	0.1203298696310837	0.0017009318148202928	0.41099885803643993	0.0006065857885615251	0.13782767258790868	0.019516524459363273	0.1876590210897303	0.0004697475933706044	0.0034490856253852702	0.010418643678390554	0.0011408236617198564	0.016330884617076498	0.007612752288467609	0.02684250840909848	0.08633170642704009
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.08071926275567544	0.14481155714449193	0.06302027779929567	0.41960409223469397	0.03683522563190613	0.00840476269886269	0.19495683497919383	0.06522806993268253	0.05327335148573458	0.16352657520216785	0.45983089286594686	0.020426744580817068	0.10206528018486424	0.16204314965350386	0.1291464925615768	0.23247705384571893	0.001601111515432201	0.11828162151055273	0.07473853499685343	0.009740754304826786	0.21155368847050543	0.04794177172883748	0.004995504046358278	0.07393604889841719
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.008815464149247021	0.0013613817432789176	0.028876348923542627	0.02238351103234216	0.010396242761387989	0.0001000566987959844	0.023725234457487112	0.008163886563488055	0.04975822094325705	0.008129387415452237	0.0	0.28194668779127785	0.03684286539572502	0.031859089189748564	0.06972697955202503	0.014012702840234457	0.005153991200502828	0.015131945871371122	0.008081191501263622	0.01586133806948005	0.014307394536576782	0.021464247915776963	0.031005428447730375	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.23854349291975724	0.011226466839502958	0.04466121237762113	0.09422267233052953	0.012052953961667655	0.0	6.21079436059872e-05	0.17137935090183273	0.004207228784001603	5.334243710926665e-05	0.05610609870334763	6.687174000267486e-05	0.2557192374350087	0.10045176531041915	0.00912118522684335	0.007548201059198251	8.601012272982897e-05	0.0	0.002846896882398186	0.0011554080551225252	0.09220076540711741	0.002754207128754541	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.04745336030568667	0.05147601403209704	0.01893706910421347	0.011383989272418675	0.012698919337923487	0.0	0.05257437426246817	0.0098589308076021	0.006911875859431205	0.0013122239528879595	0.12202336932406449	0.00015431940000617278	0.019815135759676486	0.046889385299428335	0.11190587077442202	0.019063683823667993	0.0006020708591088028	0.006501893327853935	0.013874876384740633	0.010377606150076648	0.0027493071745920026	0.00026613686862122534	0.0	0.009967841992428044
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0.0	0.03772408540796073	3.575280510550057e-05	0.00024380866646036702	0.001611113644308665	1.1117410977331599e-05	0.3582075647475312	8.302257522191243e-05	0.07565726566555263	0.11382209230375318	2.465118572203323e-05	0.00030863880001234556	0.0	0.20451479834709563	0.2029156158557482	0.0	0.0	0.0	0.009479667162792556	0.006339349665693293	0.0	0.037655272295151976	0.00013321344123622074	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0.19941559901101372	0.0020203694277066836	0.0006137564876444264	0.0003188267176789415	0.010859817913759822	0.0002890526854106216	0.004005962362586175	0.008177723659358373	0.004990392583620949	0.00034139159749930657	0.0007272099787999802	2.0575920000823037e-05	0.008246678220681687	0.006494572393071505	0.005588703086967601	0.008047645074351194	0.010493234973039134	0.0011301259283177268	0.0031665484621762278	0.00012153661168890517	0.001000747811551489	0.008045998353664952	0.0009991008092716555	0.0007480728002554395
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__uncultured	0.0	0.018526629810708746	0.010803305942712088	0.0	0.0022570790205644975	0.00024458304150129517	0.0023911558288305075	0.0013214426556154395	0.027838741109724893	0.02136898030597222	0.0	0.03516424728140657	0.0	0.008243111114283063	1.757453800933208e-05	0.027629619857140165	0.003188990704290582	0.0	0.002367419512731123	0.01113761509517127	0.0	6.189229502819194e-06	0.0	0.0232552570359896
