# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales	0.03574735895706901	0.0034882940900248204	0.027595206740595523	0.011346480246809388	0.19430638517775448	0.16144704221280948	0.017638655984100367	0.09515078975224679	0.25065794865723834	0.013570316000597436	0.012769314204013213	0.002175903540087036	0.13173021374927787	0.1569117237737034	0.0774949253521498	0.00452326655232854	0.006106718713817857	0.028326533008483284	0.10361705740742591	0.7012062913832163	0.004607838824616197	0.45934604601073215	0.2412162387184867	0.34081558180905897
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.08581254214430209	0.010954190490847174	0.07598066965003962	0.0003282039740812633	0.13346404632711686	0.06741598016653881	0.00040370163343891684	0.0019371934218446233	0.14074182003624408	0.0005120873962489598	0.004659074101464281	0.0004989660600199586	0.004679376083188908	0.005616734586095905	0.0033655240287870933	0.0	0.032346422309702604	0.01837555405524408	0.061123375520682456	0.1250822397739095	7.698060088857608e-05	0.19562297689560626	0.024744396709628	0.2043048396661041
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.09840863115306811	0.1532284477485903	0.37784756195663183	0.13929914385649048	0.037169607709026796	0.5164704443629168	0.06785292838954102	0.4525560575346446	0.16433690613872928	0.3591866345189579	0.004646748508603264	0.4187816997767513	0.08770941652224148	0.147212686540534	0.12354900220560452	0.41179630222959346	0.07793840351979887	0.29873484603868844	0.08561667782117492	0.03740086663706575	0.08544846698631944	0.1064114228419704	0.2590335364838312	0.23953382292569447
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales	0.4098269273994156	0.3866284690571741	0.2941204512004004	0.46664041034874015	0.10710105938321705	0.030083714104659307	0.34336376622570025	0.19872145234158256	0.1679522087951116	0.2025092282416199	0.7267785830498447	0.18404646042736186	0.3075678798382438	0.26372959740788054	0.3863498563281518	0.47769464181382987	0.03750702967349234	0.23334898875744856	0.38035541260026573	0.057042803574148676	0.48055689966128534	0.08500287799171881	0.09328271222566357	0.14140856634584684
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.022364576309282985	0.02786294634577518	0.04938654145239812	0.05306589398073912	0.01611113644308665	0.004647077788524609	0.034718340475746845	0.02004995191609185	0.0849277394796514	0.04900036272857234	0.04235073707045309	0.34426086151377044	0.0426054303870595	0.05933612623735878	0.09368107485874465	0.043329124182513806	0.01180985146713421	0.01868377021751255	0.020777352685572726	0.03424901717393348	0.02597545418554524	0.03368797618384487	0.03406933759616345	0.036044336997673676
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	0.2394470667565745	0.05317280866864758	0.061173049535511476	0.19675359383351618	0.1471737114890642	0.029238790870382104	0.4183591081299298	0.18416482748600724	0.10700203076194552	0.16512684831544583	0.10821870531972588	0.004367239020174689	0.3204939341421144	0.3135950669797384	0.27005035105139674	0.010224467102659304	0.03886995931059579	0.011903014647606187	0.2788160904613971	0.031388855578854576	0.09982184489508644	0.08979334162690086	0.03420255103739967	0.009838981891164531
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.009381883569341425	0.001602089819626784	0.00014897002127291903	0.003488339381663713	0.005137324639399328	0.014508221325417736	0.0001863238308179616	0.0007956330125433274	0.0019852291664769466	3.200546226555999e-05	0.0015283735147660603	0.00021090318000843613	0.00402946273830156	0.00033543395876303375	8.78726900466604e-06	0.015680657381405606	0.00023156571504184722	0.3716059529750198	0.0013385409903205507	1.1343417090964481e-05	0.05619583864866054	0.0004084891471860668	0.018416758250907515	0.00019500068421292706
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	0.09152169026747584	0.004439288293300818	0.062406521311651246	0.05640419725996568	0.025443436231817974	0.0472156444207273	0.0008074032668778337	0.026366586180892354	0.00411616322590633	0.04470096229756545	0.0	0.025797059701031883	0.00353841709994223	0.003054590092565499	6.151088303266228e-05	0.004193445032887917	0.00416818287075325	0.002069451375231162	0.003995644747225524	0.00024145273522195826	0.056063871904280124	0.00168965965426964	0.008325840077263795	9.578980978880628e-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales	0.002031917284783097	0.1488128356595204	0.045453732890793054	0.05388171528774111	0.041767361269435956	0.026059211330865268	0.0378858455996522	0.011221884750828496	0.033584977825536606	0.010689824396697037	0.09192427155746191	0.011188156500447527	0.01949740034662045	0.032173112470292684	0.027671110095693358	0.02901487023879078	0.30440305666743855	0.012754278333871489	0.03892756894984467	0.0033317236484318538	0.10771785510051467	0.023166286029052244	0.057081959569720585	0.01895041736988551
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	8.99078444594291e-06	0.0	0.0	0.0	0.22709102792090344	1.1117410977331599e-05	0.03732687410719831	4.151128761095621e-05	0.0	0.0	3.6976778583049845e-05	0.0001646073600065843	0.0	0.0	1.757453800933208e-05	0.0	0.0	0.0	9.98911186806381e-06	0.0	4.3988914793472045e-05	0.0	0.0	4.5614195137526794e-06
