# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes	0.8726365475387727	0.8900634916876793	0.8832372973262861	0.8828124267401843	0.9242396607541836	0.8908270242026037	0.9537916899571455	0.9498682016618352	0.8962763293294843	0.8909573900612371	0.9513139081989844	0.622550179524902	0.936106296938186	0.9274748959797883	0.9049129621005088	0.9336870276484668	0.6771378477620827	0.6041330319664191	0.9718107263083239	0.963161442753015	0.7803193595214006	0.9625675399669495	0.7173876844173577	0.9598081923094467
d__Bacteria;p__Actinobacteriota	0.11703753652506181	0.03255478081753933	0.11566628331714526	0.11162686021323881	0.05632058121684678	0.054275200391332865	0.03915905844357493	0.04746123883519327	0.09269563158517817	0.09737128469925534	0.045678647142927575	0.3748675425149947	0.04965337954939342	0.07137606428912979	0.09443677999314593	0.050085753595054565	0.016024347480895828	0.021281592156632518	0.025232496578729186	0.03670891819451692	0.08872564113843312	0.03648550791911915	0.04342758184300796	0.03678556766865849
d__Bacteria;p__Proteobacteria	0.009849404360530457	0.007868391872748294	0.00041115725871325654	0.0037884115865380106	0.0051981213806939945	0.014708334723009706	0.0001863238308179616	0.000975515258857471	0.0021036143920008014	0.0001813642861715066	0.0025390721293694226	0.0010956677400438266	0.004246100519930676	0.0004781718135558141	0.0001318090350699906	0.01587855029306998	0.00084025273743756	0.37175272257610004	0.0014284429971331248	4.213269205215379e-05	0.0567566973122773	0.0005013275897283547	0.01941585906017917	0.0004321944989280664
d__Bacteria;p__Verrucomicrobiota	0.0	0.005417904734846243	0.0004171160595641733	0.0010502527170600426	0.006360859057954494	0.0	0.00015526985901496802	0.0	0.008414457568003205	0.002848486141634839	0.0	4.629582000185183e-05	0.00012998266897746967	0.0	0.0	0.0	0.03492672599159747	0.0	0.00014983667802095715	7.616294332504723e-05	0.0621893282892711	0.0	0.021847004362740202	0.0003318432696255075
d__Bacteria;p__Bacteroidota	0.00034614520116880195	0.06389418315122386	0.00014301122042200228	0.0005907671533462739	0.007455200401258493	0.04003379692937109	0.006241848332401714	0.0016742886003085673	0.0003005163417144002	0.0021123605095269594	0.0002465118572203323	0.001023652020040946	0.006802426343154246	0.000463898028076536	0.0003866398362053058	0.00016019902372830245	0.25030930563366305	0.002656529779552059	0.0011487478648273383	0.0	0.00730215985571636	0.00042705683569452436	0.19732240983115196	0.0021906217214797243
d__Bacteria;p__Cyanobacteria	8.091706001348618e-05	5.524447653885462e-05	5.958800850916761e-05	9.377256402321809e-05	2.2798777985499978e-05	7.782187684132119e-05	9.31619154089808e-05	2.0755643805478106e-05	2.7319667428581837e-05	0.001621610088121706	3.6976778583049845e-05	0.00038065452001522616	0.003004043905257077	0.00011419028383422426	8.78726900466604e-06	0.00014135207976026688	0.01832677230474048	0.0	0.00014983667802095715	1.1343417090964481e-05	0.004596841595917829	1.2378459005638388e-05	0.0	6.385987319253752e-05
d__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.00012159348258933321	0.0	9.31619154089808e-05	0.0	0.0	0.004736808415302878	0.0	0.0	0.0	0.0	0.0	0.0	0.000502828409805154	0.0	9.98911186806381e-06	0.0	0.0	0.0	0.0	7.64037768553574e-05
d__Bacteria;p__Chloroflexi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000288509784244857
d__Bacteria;p__Desulfobacterota	0.0	1.5784136153958466e-05	0.0	9.377256402321809e-06	7.599592661833326e-06	0.0	0.0	0.0	0.0	0.0	1.2325592861016615e-05	0.0	1.4442518775274408e-05	0.0	0.0	0.0	0.00166065698501439	0.0	2.9967335604191433e-05	0.0	0.0	0.0	0.0005994604855629933	6.84212927062902e-06
d__Bacteria;__	4.045853000674309e-05	0.0001223270551931781	5.3629207658250856e-05	9.377256402321809e-06	0.00027358533582599973	7.782187684132119e-05	0.00021737780262095523	0.0	0.00017302456038101828	0.0001386903364840933	0.00014790711433219938	5.143980000205759e-06	2.8885037550548817e-05	7.850582013602918e-05	0.00012302176606532455	4.7117359920088955e-05	0.00027126269476330676	0.00014676960108022427	3.995644747225524e-05	0.0	7.698060088857608e-05	6.189229502819194e-06	0.0	1.254390366281987e-05
d__Bacteria;p__Patescibacteria	8.99078444594291e-06	7.892068076979233e-06	5.9588008509167615e-06	9.377256402321809e-06	0.0	0.0	3.10539718029936e-05	0.0	9.106555809527279e-06	0.0	2.465118572203323e-05	1.0287960000411518e-05	1.4442518775274408e-05	0.0	0.0	0.0	0.0	1.4676960108022426e-05	0.0	0.0	1.0997228698368011e-05	0.0	0.0	2.2807097568763397e-06
d__Bacteria;p__Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4273785479278033e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.0997228698368011e-05	0.0	0.0	0.0
d__Bacteria;p__Bdellovibrionota	0.0	0.0	5.9588008509167615e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0997228698368011e-05	0.0	0.0	1.1403548784381699e-06
d__Bacteria;p__Synergistota	0.0	0.0	0.0	0.0	0.0	0.0	3.10539718029936e-05	0.0	0.0	2.133697484370666e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Dependentiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0287960000411518e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Deinococcota	0.0	0.0	0.0	9.377256402321809e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Eukaryota;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.066848742185333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Dadabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.143980000205759e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.143980000205759e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Planctomycetota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4676960108022426e-05	0.0	0.0	0.0	0.0	0.0	0.0
