pathway	description	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
ko00010	B_Glycolysis _ Gluconeogenesis	558467.568	592157.5022500001	427750.42600000004	267410.74225	319875.39275	168245.81324999995	68644.35825000003	348439.02975	234919.43824999995	204005.2425	205665.715	240405.72675000012	172476.8055	282979.78325000004	237935.9565	250833.853	272273.199	137527.81075	231889.13075	1216078.26675	229684.00425	339600.58974999987	53273.722250000006	1825814.7122499996
ko00020	B_Citrate cycle (TCA cycle)	242925.3155555556	350672.87592592585	176891.0592592593	139124.97481481484	220377.18148148147	94608.02666666666	35508.56370370371	157101.74074074073	105003.85185185184	103004.06666666664	99425.21962962963	128779.31629629631	86478.42111111112	146575.18814814815	119166.69555555556	131163.61037037033	211053.92481481482	74764.88666666666	107802.68148148149	798260.9329629631	140959.81333333332	165045.36888888892	38474.89037037037	878290.1814814813
ko00030	B_Pentose phosphate pathway	730614.0913636362	921830.7013636364	579737.1813636365	442378.2395454545	456204.5518181818	220198.29090909087	116446.99454545455	441800.2736363637	326104.2372727272	312864.3677272726	378251.09363636357	377834.05499999993	240499.09136363637	439437.3354545454	396490.5063636364	365903.19863636367	396364.3595454544	173360.9904545455	375648.01	1947523.1131818185	358579.5759090909	485290.10045454546	81936.4231818182	2426623.591363636
ko00040	B_Pentose and glucuronate interconversions	225024.62961538465	360744.7388461538	179690.93346153843	203431.49692307686	167789.73423076922	87017.87461538459	41291.76307692309	147976.89692307689	113396.21692307688	116787.74923076922	169673.02500000005	128483.1973076923	71830.4746153846	155643.42923076922	142195.3430769231	133890.06192307692	158592.67346153845	73271.11038461539	107056.65076923076	819245.821923077	158193.69692307693	192582.39076923078	41542.59423076923	975731.0665384616
ko00051	B_Fructose and mannose metabolism	498560.2015151515	679663.6418181815	420991.2936363637	283674.2536363636	280821.7766666665	142940.12424242427	91642.31545454547	307332.77727272717	234361.07424242425	298060.5409090909	235989.3396969697	243169.58666666664	159879.89575757575	319469.8187878788	264776.97393939394	207140.75121212125	254279.5530303031	123308.37575757575	285340.476060606	964608.3148484848	204037.08909090905	280854.4184848485	52400.160303030316	1573571.826363636
ko00052	B_Galactose metabolism	564113.9927586206	596166.0503448278	378107.9048275862	298526.90172413795	268837.6541379309	163474.3417241379	85493.36448275862	314888.96827586205	228876.06999999995	196168.7396551724	221765.38482758612	221711.10827586206	162678.1448275862	336222.4017241379	269115.2244827586	248136.72551724128	266007.8389655173	133136.09793103448	217584.95620689652	1374491.9417241379	257931.22931034482	349480.6386206896	60150.26172413794	1828783.389655172
ko00053	B_Ascorbate and aldarate metabolism	64619.61944444443	175698.8744444444	93938.68833333332	70482.40055555555	112168.64055555552	40544.316111111126	13720.098888888891	66205.19388888888	49113.94722222222	56715.061111111085	52676.61055555555	52723.078888888886	28159.968888888885	44153.59444444443	43452.18222222221	41363.15777777777	47563.62722222222	42234.52944444444	67141.36111111111	260784.30888888892	52793.08055555555	65777.18444444443	12308.775555555556	308182.6272222223
ko00061	D_Fatty acid biosynthesis	699813.4915384615	768249.3592307693	456529.55230769224	291606.8907692308	503852.81769230776	205209.4769230769	78037.29461538463	451264.7538461539	293681.1446153845	269862.1261538461	279949.303076923	308871.5453846153	239151.3307692308	350567.0407692308	302662.88384615385	356540.6015384614	429785.12153846154	184764.67076923078	326620.9784615384	1781830.2999999996	253641.5815384616	458845.00769230776	78169.72615384615	2271230.8784615383
ko00071	D_Fatty acid degradation	113607.95	155241.22166666665	117267.385	54604.03125	150510.35416666663	43229.51583333333	21242.84791666667	61829.16958333332	65233.55125	44352.32749999999	40674.12583333333	48425.79916666666	31471.65541666667	71845.37000000001	62496.99333333334	62285.68958333333	69758.77874999997	42184.92541666667	65573.70791666668	359371.77375	46868.87333333333	99693.63416666668	15315.845416666665	453259.52875
ko00072	not_found	134412.76999999993	197831.045	164789.86250000002	54531.38750000001	346902.88249999983	79347.63500000001	40203.53500000002	112631.57499999998	102307.515	93915.455	16666.567499999994	32828.46	42322.0525	104064.4775	104407.4425	87455.9475	86998.305	58780.87	120512.48500000002	559060.175	48727.5375	165417.51750000002	21121.35	783651.475
ko00100	D_Steroid biosynthesis	8.000625	230.104375	14.041875	24.125	6365.235625000001	2.6256250000000003	55.575625	3.999375	153.83249999999995	46.66562499999999	5.5	24.125625	3.356875	5.999375	3.874375	7.33875	287.0825	2.0	4.91625	14.333750000000002	947.374375	0.625625	109.708125	67.49937499999999
ko00120	D_Primary bile acid biosynthesis	47721.56888888887	52968.822222222196	66941.62777777779	19224.514444444452	29147.011111111093	24127.544444444444	9388.136666666673	40743.688888888886	32017.206666666636	33125.93555555555	6967.276666666668	17142.61111111111	18264.536666666667	32554.34111111112	28452.645555555555	26809.54666666666	41408.98	23872.416666666664	26676.404444444444	88637.4077777778	16557.530000000002	50526.14444444445	8818.617777777776	276103.89111111115
