# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia	475632.0	655464.0	297984.0	233112.0	266716.0	123948.0	55060.0	180968.0	272860.0	134956.0	271560.0	154360.0	146064.0	261348.0	232416.0	217092.0	335292.0	79896.0	242276.0	2203816.0	216232.0	495260.0	50212.0	2491704.0
d__Bacteria;p__Firmicutes;c__Bacilli	300648.0	245812.0	294832.0	143392.0	218676.0	196380.0	67564.0	368168.0	120568.0	198784.0	36656.0	329320.0	113064.0	258364.0	179204.0	179144.0	72620.0	84676.0	146804.0	173568.0	67412.0	126808.0	35220.0	874764.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	19900.0	28248.0	33160.0	22636.0	8484.0	1672.0	4472.0	11592.0	37304.0	18376.0	13744.0	267700.0	11800.0	33256.0	42644.0	18392.0	7140.0	5092.0	8320.0	84540.0	9448.0	21772.0	4092.0	126432.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	8484.0	1784.0	268.0	1600.0	2736.0	5288.0	24.0	524.0	908.0	60.0	612.0	776.0	1176.0	236.0	32.0	6732.0	492.0	101308.0	572.0	60.0	20616.0	292.0	2320.0	1316.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	84236.0	4748.0	44476.0	24980.0	21144.0	17856.0	572.0	15848.0	3372.0	18112.0	1072.0	23800.0	1952.0	6748.0	344.0	2868.0	2548.0	708.0	1784.0	6072.0	22824.0	1808.0	1124.0	2600.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0	5480.0	280.0	444.0	3348.0	0.0	20.0	0.0	3696.0	1068.0	0.0	20.0	36.0	0.0	0.0	0.0	7020.0	0.0	52.0	188.0	22616.0	0.0	2624.0	1164.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia	308.0	64768.0	96.0	252.0	3924.0	14404.0	804.0	968.0	132.0	792.0	80.0	796.0	1884.0	260.0	176.0	68.0	151332.0	724.0	460.0	0.0	2656.0	276.0	23700.0	7684.0
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14096.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	280.0	6192.0	8.0	16.0	0.0	4.0	0.0	40.0	16.0	8.0	208.0	76.0	0.0	32.0	28.0	8.0	16.0	8.0	0.0	44.0	28.0	32.0	12.0	200.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	0.0	8.0	16.0	0.0	8.0	0.0	12.0	0.0	0.0	592.0	0.0	52.0	788.0	0.0	0.0	0.0	11072.0	0.0	28.0	4.0	1620.0	0.0	0.0	0.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	64.0	0.0	12.0	0.0	0.0	1776.0	0.0	0.0	0.0	0.0	0.0	0.0	304.0	0.0	4.0	0.0	0.0	0.0	0.0	268.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1012.0
