# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	30748.0	796.0	18072.0	352.0	101676.0	57336.0	240.0	52428.0	108860.0	2572.0	3780.0	476.0	35348.0	84464.0	34648.0	1308.0	2132.0	7300.0	40596.0	1727756.0	56.0	293860.0	27728.0	1185904.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	76356.0	11104.0	51004.0	140.0	70248.0	24256.0	52.0	1120.0	61816.0	192.0	1512.0	388.0	1292.0	3148.0	1532.0	0.0	19556.0	5008.0	24476.0	308752.0	28.0	126428.0	2972.0	716636.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	69844.0	59780.0	218528.0	4168.0	1800.0	57096.0	456.0	67472.0	58232.0	66472.0	332.0	3468.0	23844.0	5220.0	47284.0	94100.0	42320.0	64704.0	20644.0	86496.0	24804.0	61724.0	17764.0	527452.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	3584.0	10776.0	16024.0	6044.0	7456.0	105804.0	5880.0	84504.0	6252.0	45236.0	664.0	319924.0	168.0	77252.0	8912.0	79684.0	284.0	1008.0	5228.0	2820.0	6024.0	5120.0	3340.0	302860.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	364664.0	391900.0	197436.0	199048.0	56364.0	10824.0	44220.0	114860.0	73760.0	75928.0	235860.0	143116.0	85184.0	147812.0	175868.0	202768.0	22548.0	63572.0	152284.0	140788.0	174792.0	54936.0	11200.0	495996.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	8084.0	1380.0	19384.0	9548.0	5472.0	36.0	3076.0	4728.0	21856.0	3048.0	0.0	219244.0	10204.0	17888.0	31740.0	5948.0	3116.0	4124.0	3236.0	39152.0	5204.0	13872.0	3724.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	212788.0	13892.0	30368.0	40220.0	6872.0	724.0	1544.0	99316.0	1944.0	1332.0	20692.0	820.0	70868.0	56344.0	4172.0	3208.0	616.0	316.0	1592.0	2880.0	34776.0	1848.0	12.0	1180.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	272.0	40008.0	10696.0	43708.0	70580.0	9796.0	52344.0	7148.0	45056.0	60580.0	14420.0	2576.0	17896.0	119412.0	118756.0	1132.0	22884.0	2928.0	110056.0	74600.0	1532.0	56184.0	4096.0	33332.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	2020.0	26036.0	13700.0	9756.0	2696.0	1604.0	1244.0	2980.0	15200.0	13800.0	13740.0	48256.0	944.0	12472.0	7644.0	12428.0	4008.0	968.0	3820.0	33416.0	3260.0	7052.0	324.0	125860.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	14096.0	82084.0	18888.0	49100.0	10100.0	22760.0	1248.0	109476.0	7616.0	22332.0	432.0	1956.0	268.0	0.0	20.0	40.0	4508.0	15640.0	8404.0	2688.0	224.0	1896.0	9952.0	9452.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	8348.0	1624.0	100.0	1484.0	2700.0	1468.0	24.0	460.0	872.0	12.0	488.0	164.0	1116.0	188.0	4.0	6656.0	140.0	101272.0	536.0	28.0	20428.0	264.0	1640.0	676.0
