# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia	0.5345380984490897	0.6466208137511394	0.4439068281898951	0.5464877486145103	0.5067332390983843	0.3444952139545743	0.42745792186820697	0.31300894568248017	0.6212037045469033	0.35994409712590947	0.836784499334418	0.19850618820794025	0.5273830155979202	0.4663031609297944	0.5105754782471156	0.5114400949885975	0.5545866551986504	0.29315760119763995	0.6050305167367569	0.8928144314193207	0.594488188976378	0.7663194508915585	0.4180570819595697	0.7103567030059754
d__Bacteria;p__Firmicutes;c__Bacilli	0.33788267026298047	0.24249562976730238	0.4392112931193727	0.3361558875104322	0.4154621312297661	0.5458092919320948	0.524532637724365	0.6367969890479386	0.2744898052107712	0.530181150916423	0.11295173297835626	0.4235038734169402	0.4082322357019064	0.46097903894602366	0.39367843867804325	0.42203961627622083	0.12011644447384962	0.3106965685267267	0.3666103946698099	0.07031622205873297	0.1853362952535961	0.1962109536983741	0.29323608752123087	0.24938534872052182
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.022364576309282985	0.027866892379813667	0.04939845905409995	0.05306589398073912	0.016118736035748486	0.004647077788524609	0.034718340475746845	0.02004995191609185	0.0849277394796514	0.0490110312159942	0.04235073707045309	0.34426086151377044	0.0426054303870595	0.05933612623735878	0.09368107485874465	0.043329124182513806	0.01180985146713421	0.01868377021751255	0.020777352685572726	0.03424901717393348	0.02597545418554524	0.03368797618384487	0.03406933759616345	0.036044336997673676
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.009534726904922455	0.0017599311811663688	0.00039923965701142304	0.0037509025609287236	0.0051981213806939945	0.014697217312032374	0.0001863238308179616	0.0009063297795058773	0.0020671881687626924	0.00016002731132779994	0.0018858157077355422	0.0009979321200399172	0.004246100519930676	0.00042107667163870195	7.029815203732832e-05	0.015859703349101945	0.0008137880842899203	0.371723368655884	0.0014284429971331248	2.4307322337781032e-05	0.05667971671138873	0.0004518137537058012	0.019315948979252005	0.0003751767550061579
d__Bacteria;p__Actinobacteriota;c__Actinobacteria	0.09466846482355586	0.004683942403687174	0.06625590666134347	0.05856096623249969	0.04017144681045096	0.04962812260280826	0.004440717967828085	0.02741128691910142	0.007676826547431496	0.048306911046151875	0.0033032588867524526	0.030606681001224267	0.007047949162333911	0.01203993805177102	0.0007557051344012795	0.006756629412540757	0.004214496013761619	0.0025978219391199694	0.004455143893156459	0.0024599010205834403	0.06275018695288788	0.0027975317352742757	0.009358244246844507	0.0007412306709848105
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.0	0.005406066632730774	0.0004171160595641733	0.0010408754606577209	0.006360859057954494	0.0	0.00015526985901496802	0.0	0.008414457568003205	0.002848486141634839	0.0	2.5719900001028797e-05	0.00012998266897746967	0.0	0.0	0.0	0.011611366568526911	0.0	0.00012985845428482954	7.616294332504723e-05	0.06217833106057274	0.0	0.021847004362740202	0.0003318432696255075
d__Bacteria;p__Bacteroidota;c__Bacteroidia	0.00034614520116880195	0.06389418315122386	0.00014301122042200228	0.0005907671533462739	0.007455200401258493	0.04003379692937109	0.006241848332401714	0.0016742886003085673	0.0003005163417144002	0.0021123605095269594	0.0002465118572203323	0.001023652020040946	0.006802426343154246	0.000463898028076536	0.0003866398362053058	0.00016019902372830245	0.25030930563366305	0.002656529779552059	0.0011487478648273383	0.0	0.00730215985571636	0.00042705683569452436	0.19732240983115196	0.0021906217214797243
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.0	1.1838102115468848e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023315359423070562	0.0	1.997822373612762e-05	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0003146774556080018	0.006108460691581926	1.1917601701833523e-05	3.7509025609287236e-05	0.0	1.1117410977331599e-05	0.0	6.918547935159369e-05	3.6426223238109117e-05	2.133697484370666e-05	0.000640930828772864	9.773562000390943e-05	0.0	5.709514191711213e-05	6.151088303266228e-05	1.8846943968035583e-05	2.6464653147639685e-05	2.9353920216044852e-05	0.0	1.7825369714372757e-05	7.698060088857608e-05	4.951383602255355e-05	9.991008092716555e-05	5.70177439219085e-05
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	0.0	7.892068076979233e-06	2.3835203403667046e-05	0.0	1.5199185323666652e-05	0.0	9.31619154089808e-05	0.0	0.0	0.0015789361384342929	0.0	6.687174000267486e-05	0.0028451761987290584	0.0	0.0	0.0	0.018313539978166662	0.0	6.992378307644668e-05	1.6204881558520689e-06	0.004453877622839044	0.0	0.0	0.0
