# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	0.03455608001798157	0.0007852607736594336	0.02692186224444193	0.0008251985634043192	0.19317404587114131	0.15935696894907114	0.001863238308179616	0.09068140778613384	0.24783491635628488	0.006859837412251691	0.011647685253660701	0.0006121336200244854	0.12762853841709995	0.15070262709021745	0.07611532411841723	0.0030814753387738178	0.003526415031922988	0.02678545219714093	0.10137949634897961	0.6999520335505868	0.00015396120177715215	0.4546917454246121	0.23085889366237053	0.3380878529398349
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.08581254214430209	0.010954190490847174	0.07598066965003962	0.0003282039740812633	0.13346404632711686	0.06741598016653881	0.00040370163343891684	0.0019371934218446233	0.14073271348043456	0.0005120873962489598	0.004659074101464281	0.0004989660600199586	0.0046649335644136335	0.005616734586095905	0.0033655240287870933	0.0	0.032346422309702604	0.01837555405524408	0.061123375520682456	0.1250822397739095	7.698060088857608e-05	0.19562297689560626	0.024744396709628	0.2043048396661041
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.07849404360530456	0.05897347870522731	0.32554120808728454	0.009771101171219324	0.0034198166978249966	0.15868992429043124	0.003540152785541271	0.11670206657026823	0.13257323947509814	0.17728892397635862	0.001023024207464379	0.004459830660178393	0.08609185441941075	0.009313645025228915	0.10387430690415726	0.22168717842401856	0.06999900757550696	0.23741450670737077	0.05155380635107733	0.03504143588214514	0.06819381515858004	0.09550600045800298	0.14790022313251408	0.1503706153354924
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.004027871431782423	0.010630615699691025	0.023870956208772547	0.014169034423908253	0.01416564072165732	0.29406663776139813	0.0456493385504006	0.14616124367817682	0.014233546730291136	0.1206499242537393	0.002046048414928758	0.4114206643964568	0.0006065857885615251	0.1378348094806483	0.019578035342395935	0.18772498539361843	0.0004697475933706044	0.0036985939472216514	0.0130557692115594	0.0011424441498757085	0.016561826419742225	0.007922213763608568	0.02780830585806108	0.08634196962094604
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae	0.4098269273994156	0.38661268492102013	0.2941204512004004	0.46663103309233783	0.10708586019789339	0.030083714104659307	0.3433016582820943	0.19866610395810128	0.16792488912768302	0.2025092282416199	0.7267785830498447	0.18404646042736186	0.3075678798382438	0.26372959740788054	0.3863498563281518	0.47769464181382987	0.037295312448311226	0.23326092699680043	0.3802954779290573	0.05703632162152527	0.48055689966128534	0.08500287799171881	0.09324940886535452	0.14140286457145462
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.009085187682625308	0.0013613817432789176	0.028876348923542627	0.02238351103234216	0.010396242761387989	0.0001000566987959844	0.023880504316502082	0.008177723659358373	0.04975822094325705	0.008129387415452237	0.0	0.28194668779127785	0.03684286539572502	0.03191618433166568	0.06972697955202503	0.014012702840234457	0.005153991200502828	0.015131945871371122	0.008081191501263622	0.01586133806948005	0.014307394536576782	0.021464247915776963	0.031005428447730375	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	0.23914138008541244	0.013704576215674436	0.045239216060160056	0.09428831312534579	0.013056100193029654	0.0020122513868970193	0.01198683311595553	0.17178062668207197	0.0044257861234302575	0.0035526063114771586	0.06376029187003895	0.0010545159000421806	0.2558781051415367	0.10053027113055518	0.009165121571866679	0.007557624531182269	0.0010188891461841278	0.0011594798485337716	0.003975666523489397	0.0011667514722134896	0.09560990630361149	0.0028594240303024677	9.991008092716555e-05	0.00033640468913926014
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae	0.00030568667116205887	0.03946823245297314	0.01593383347535142	0.1024652807081704	0.13409481251804903	0.027226539483485086	0.40637227501397427	0.012363445160129792	0.10257624463851527	0.16157424200396867	0.04443376226396489	0.003312723120132509	0.0646158290005777	0.21305765895644355	0.2608852294795301	0.002666842571477035	0.03785107016441166	0.010743534799072417	0.2748404239379077	0.030222104106641084	0.004211938591474948	0.0869339175965984	0.03410264095647251	0.00950257720202527
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.0022701730726005843	0.02568473555652891	0.02040889291438991	0.02287112836526289	0.0051221254540756616	0.004458081801909972	0.009657785230731011	0.00515431821169373	0.034604912076203656	0.03680628160539399	0.04233841147759207	0.062056974722482276	0.00340843443096476	0.02225283156219445	0.0167924710679168	0.02927872745434328	0.006629395613483741	0.003551824346141427	0.00953960183400094	0.013537558053988184	0.008962741389169929	0.01091161161347024	0.00269757218503347	0.03588126625005702
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.015841762193751406	0.08097656450384541	0.02813745761802895	0.1151058223385002	0.01918897147112915	0.0632580684610168	0.009688839202534005	0.18935373843737677	0.01733888226133994	0.05956216527620714	0.0013311640289897944	0.002515406220100616	0.0009676487579433853	0.0	4.39363450233302e-05	9.423471984017791e-05	0.007456416024347481	0.05738691402236769	0.020987124034802067	0.0010889680407325903	0.0006158448071086086	0.002933694784336298	0.0828587604489293	0.0026946585777493956
