# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;__	0.033220948527759045	0.0006787178546202139	0.018370983023376374	0.0005063718457253777	0.17585457419482317	0.13973473857408086	0.0011489969567107633	0.09039774732079231	0.10286765442442014	0.006507777327330531	0.0004190701572745649	0.0002160471600086419	0.12733968804159446	0.1422953674429227	0.050649818542895055	0.0030532049228217647	0.003420556419332429	0.0	0.05584912445434476	0.5522834298604111	0.00013196674438041613	0.23914563875943085	0.22869417524228194	0.07301350180176071
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;__	0.08573162508428861	0.010827917401615506	0.07595087564578504	0.0003282039740812633	0.1320809204626632	0.06478115376491123	0.00031053971802993605	0.0019233563259743046	0.128857764704811	0.0005120873962489598	0.004659074101464281	0.0004166623800166665	0.0046649335644136335	0.0056095976933562665	0.003304013145754431	0.0	0.030692381487975123	0.01718672028649426	0.05996463854398706	0.12118496575908527	0.0	0.19545586769903014	0.024244846304992174	0.19895315422159376
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;__	0.0010159586423915486	6.708257865432348e-05	0.00039328085616050624	4.688628201160904e-05	0.0072880093626981595	0.004547021089728624	9.31619154089808e-05	4.151128761095621e-05	0.13019642840881152	6.401092453111997e-05	0.010291870038948873	0.00020575920000823038	0.0	0.004653254066244638	0.015017442728974262	9.423471984017792e-06	0.0	0.026565297795520592	0.035211619334924935	0.14365465452813006	0.0	0.1163080008169783	0.0014986512139074832	0.26294416822515165
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	0.012321870083164757	0.05879985320753377	0.25342184138863894	0.007848763608743354	0.0017099083489124983	0.11442039377869681	0.001397428731134712	0.0953375905464961	0.1323728952472885	0.005889005056863038	0.0010106986146033623	0.0033795948601351837	0.012723859041016753	0.009306508132489276	0.08884807690617832	0.1548276446974123	0.025855966125243973	0.21265447500513693	0.05151384990360507	0.03392978100723062	0.024237892051203098	0.0947694821471675	0.021946914443667365	0.1225505177211148
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	0.0017442121825129242	0.002454433171940541	0.02171387030074068	0.012021642707776559	0.009697080236499324	0.051684843633614606	0.02148934848767157	0.13293298002615211	0.010126490060194334	0.020803550472613994	0.0015900014790711434	0.4093373524963735	0.0004910456383593299	0.12408201717136393	0.007302220542877479	0.14870238790780074	6.616163286909921e-05	0.0033903777849531806	0.008540690647194558	0.0010857270644208862	0.0018585316500241938	0.004870923618718706	0.0089919072834449	0.018067782693974365
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	0.024090806922904023	0.0655909777877744	0.032386082624732596	0.23961703284852917	0.015936345811864483	0.005447531378892484	0.1597105769827961	0.013947792637281287	0.030443216071249692	0.12199415366889282	0.45703298328649605	0.020179833540807192	0.04628827267475448	0.14042550154513728	0.09141395945554082	0.16217795284494618	0.000747626451420821	0.11514075204743593	0.03535146690107783	0.007251684497438008	0.08565741433158844	0.03997623335870917	0.004862290605122057	0.04131391689093646
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;__	0.008770510227017306	0.0013495436411634486	0.02191646952967185	0.022355379263135192	0.009225905491465658	0.0	0.022203589839140427	0.007160697112889946	0.04962162260611414	0.005878336569441185	0.0	0.28194668779127785	0.031932409012131714	0.030431710641820764	0.057257844834403916	0.012561488154695715	0.003665354460948096	0.015102591951155077	0.008061213277527495	0.01586133806948005	0.014131438877402895	0.016939921149216133	0.03097212508742132	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003;__	0.23842661272196	0.011139654090656186	0.04457183036485737	0.09370692322840184	0.011992157220372989	0.0	6.21079436059872e-05	0.17137243235389757	0.004179909116573021	5.334243710926665e-05	0.05609377311048661	6.172776000246911e-05	0.255632582322357	0.10027334299192818	0.009094823419829352	0.007538777587214233	8.601012272982897e-05	0.0	0.002846896882398186	0.0011554080551225252	0.09214577926362556	0.0027356394402460837	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__uncultured_bacterium	0.04686895931670038	0.050734159632860994	0.016029174288966087	1.8754512804643618e-05	0.010107458240238324	0.0	0.04195391590584436	0.009623700177806681	0.0039522452213348385	5.334243710926665e-05	0.12172755509540009	0.00014917542000596702	0.013186019641825534	0.046818016372031944	0.10877760300876091	0.015680657381405606	0.00035727281749313574	0.00024950832183638123	0.013305497008260996	0.00898398633604387	0.0003629085470461444	0.00022900149160431018	0.0	0.00916617251288601
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;__	0.0	0.0376570028293064	3.575280510550057e-05	0.00024380866646036702	0.0015731156809994985	0.0	0.27787093969318677	8.302257522191243e-05	0.052617679467448615	0.11355538011820684	2.465118572203323e-05	0.0002520550200100822	0.0	0.20432923913586504	0.2028101686276922	0.0	0.0	0.0	0.009459688939056429	1.6204881558520689e-06	0.0	0.037618136918135064	0.0	0.0
