# Constructed from biom file
#OTU ID	IfmP01	IfmP02	IfmP03	IfmP07	IfmP10	IfmP11	IfmP12	IfmP13	IfmP14	IfmP15	IfmP16	IfmP19	IfmP20	IfmP22	IfmP23	IfmP24	IfmP25	IfmP30	IfmP31	IfmP33	IfmP34	IfmP35	IfmP36	IfmP38
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia;__	29560.0	688.0	12332.0	216.0	92560.0	50276.0	148.0	52264.0	45184.0	2440.0	136.0	168.0	35268.0	79752.0	23056.0	1296.0	2068.0	0.0	22364.0	1363252.0	48.0	154556.0	27468.0	256108.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;__	76284.0	10976.0	50984.0	140.0	69520.0	23308.0	40.0	1112.0	56600.0	192.0	1512.0	324.0	1292.0	3144.0	1504.0	0.0	18556.0	4684.0	24012.0	299132.0	0.0	126320.0	2912.0	697864.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Intestinibacter;__	904.0	68.0	264.0	20.0	3836.0	1636.0	12.0	24.0	57188.0	24.0	3340.0	160.0	0.0	2608.0	6836.0	4.0	0.0	7240.0	14100.0	354596.0	0.0	75168.0	180.0	922324.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	10964.0	59604.0	170116.0	3348.0	900.0	41168.0	180.0	55120.0	58144.0	2208.0	328.0	2628.0	3524.0	5216.0	40444.0	65720.0	15632.0	57956.0	20628.0	83752.0	8816.0	61248.0	2636.0	429868.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	1552.0	2488.0	14576.0	5128.0	5104.0	18596.0	2768.0	76856.0	4448.0	7800.0	516.0	318304.0	136.0	69544.0	3324.0	63120.0	40.0	924.0	3420.0	2680.0	676.0	3148.0	1080.0	63376.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;__	21436.0	66488.0	21740.0	102212.0	8388.0	1960.0	20572.0	8064.0	13372.0	45740.0	148320.0	15692.0	12820.0	78704.0	41612.0	68840.0	452.0	31380.0	14156.0	17900.0	31156.0	25836.0	584.0	144916.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;__	7804.0	1368.0	14712.0	9536.0	4856.0	0.0	2860.0	4140.0	21796.0	2204.0	0.0	219244.0	8844.0	17056.0	26064.0	5332.0	2216.0	4116.0	3228.0	39152.0	5140.0	10948.0	3720.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003;__	212152.0	11292.0	29920.0	39972.0	6312.0	0.0	8.0	99080.0	1836.0	20.0	18204.0	48.0	70800.0	56200.0	4140.0	3200.0	52.0	0.0	1140.0	2852.0	33516.0	1768.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__uncultured_bacterium	41704.0	51428.0	10760.0	8.0	5320.0	0.0	5404.0	5564.0	1736.0	20.0	39504.0	116.0	3652.0	26240.0	49516.0	6656.0	216.0	68.0	5328.0	22176.0	132.0	148.0	0.0	32152.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;__	0.0	38172.0	24.0	104.0	828.0	0.0	35792.0	48.0	23112.0	42576.0	8.0	196.0	0.0	114520.0	92320.0	0.0	0.0	0.0	3788.0	4.0	0.0	24312.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group;__	177340.0	1988.0	408.0	48.0	5684.0	48.0	512.0	4692.0	2188.0	72.0	216.0	16.0	2284.0	3640.0	2500.0	3404.0	572.0	208.0	1244.0	300.0	356.0	5200.0	80.0	2380.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__uncultured;s__uncultured_bacterium	0.0	18640.0	7184.0	0.0	1116.0	84.0	272.0	760.0	12100.0	7912.0	0.0	27344.0	0.0	4620.0	8.0	11700.0	1888.0	0.0	936.0	27480.0	0.0	4.0	0.0	81516.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;__	0.0	127320.0	79552.0	6952.0	14352.0	3132.0	80.0	364.0	23760.0	104.0	56.0	208.0	7616.0	328.0	2224.0	7016.0	0.0	196.0	28372.0	9308.0	2844.0	2340.0	8.0	2936.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__uncultured_Blautia	30164.0	76480.0	5704.0	61832.0	9628.0	964.0	3316.0	22052.0	1756.0	4040.0	360.0	120.0	8192.0	4996.0	12708.0	24936.0	60.0	0.0	11920.0	3376.0	37500.0	1876.0	4.0	95808.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_downei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6684.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9264.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	163796.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	14076.0	81968.0	18868.0	49100.0	9948.0	20036.0	1200.0	17464.0	7532.0	22280.0	432.0	1956.0	268.0	0.0	20.0	36.0	128.0	15620.0	8396.0	2688.0	32.0	1896.0	6248.0	9420.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;s__[Eubacterium]_hallii	0.0	3548.0	772.0	16.0	8.0	0.0	1828.0	14600.0	0.0	124.0	36.0	1072.0	664.0	2772.0	104.0	16888.0	0.0	20.0	34884.0	7308.0	52740.0	732.0	4.0	4808.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_mutans	424.0	6564.0	1128.0	716.0	1820.0	72296.0	32.0	880.0	1492.0	2076.0	0.0	824.0	12.0	188.0	5468.0	756.0	180.0	0.0	688.0	24.0	5188.0	876.0	2144.0	32420.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella;__	8280.0	1600.0	100.0	1484.0	2628.0	912.0	24.0	448.0	864.0	0.0	472.0	164.0	1088.0	120.0	4.0	6640.0	140.0	98444.0	536.0	0.0	20400.0	256.0	1640.0	652.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis	56792.0	976.0	12720.0	11608.0	7504.0	7340.0	76.0	2448.0	1736.0	9960.0	0.0	2228.0	768.0	1184.0	0.0	116.0	0.0	0.0	464.0	224.0	7712.0	460.0	628.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group;__	41856.0	7024.0	34440.0	128.0	336.0	0.0	5856.0	38956.0	1872.0	164.0	136.0	404.0	35428.0	6488.0	52156.0	14172.0	84.0	15852.0	41432.0	21808.0	28600.0	10076.0	20.0	42120.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__;__	0.0	32.0	0.0	4.0	8.0	8.0	5196.0	4584.0	4.0	324.0	20.0	28.0	48.0	28.0	32.0	4.0	24.0	12.0	103848.0	0.0	0.0	0.0	0.0	16.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__metagenome	8260.0	3776.0	14736.0	14828.0	1068.0	0.0	1208.0	7588.0	8272.0	11520.0	532.0	0.0	6624.0	5796.0	4452.0	4848.0	304.0	0.0	3600.0	2768.0	7472.0	3248.0	0.0	18332.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_asini	0.0	0.0	0.0	0.0	0.0	2504.0	0.0	92000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4372.0	0.0	0.0	0.0	192.0	0.0	3688.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_mucosae	0.0	0.0	1504.0	344.0	788.0	0.0	0.0	824.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	164.0	0.0	0.0	484.0	0.0	4456.0	84380.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_salivarius	1940.0	0.0	0.0	272.0	0.0	440.0	0.0	10188.0	0.0	63004.0	0.0	512.0	0.0	0.0	6676.0	4.0	20800.0	0.0	12.0	0.0	2800.0	144.0	7916.0	2936.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_sobrinus	0.0	1420.0	40.0	0.0	0.0	0.0	312.0	0.0	96.0	34340.0	12.0	0.0	0.0	1084.0	8.0	3780.0	0.0	0.0	0.0	0.0	0.0	808.0	0.0	41960.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	664.0	6472.0	15908.0	144.0	2104.0	80.0	1640.0	2980.0	8172.0	1824.0	1088.0	60.0	2384.0	700.0	532.0	50832.0	3892.0	3852.0	816.0	1500.0	232.0	1368.0	28.0	15308.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;__	4.0	4828.0	28944.0	15604.0	2016.0	0.0	860.0	732.0	5824.0	176.0	11024.0	8040.0	3372.0	17016.0	8832.0	412.0	22124.0	28.0	712.0	4568.0	32864.0	13180.0	36.0	15972.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter;s__uncultured_bacterium	16.0	8.0	728.0	12.0	3256.0	4764.0	0.0	20.0	5124.0	0.0	0.0	44.0	0.0	0.0	4508.0	0.0	20.0	44.0	3772.0	3836.0	0.0	58504.0	0.0	6572.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;__	48.0	68.0	10600.0	0.0	544.0	8356.0	0.0	224.0	10596.0	20.0	0.0	728.0	1356.0	8.0	26228.0	0.0	8828.0	1460.0	2368.0	5764.0	1208.0	31832.0	2708.0	28480.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_amylovorus	55572.0	0.0	8.0	92.0	40.0	1296.0	0.0	372.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4176.0	0.0	0.0	0.0	10672.0	12.0	1500.0	6540.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera;s__uncultured_rumen	0.0	0.0	0.0	0.0	67508.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	4.0	4680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__;__	8.0	27852.0	92.0	336.0	448.0	3196.0	304.0	20.0	280.0	160.0	9688.0	96.0	96.0	296.0	120.0	0.0	50140.0	412.0	984.0	64.0	160.0	80.0	64.0	972.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Psychrobacillus;__	0.0	0.0	0.0	0.0	67908.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;__	23784.0	3516.0	22008.0	9500.0	4532.0	8692.0	16.0	9736.0	60.0	5232.0	0.0	16908.0	128.0	340.0	4.0	4.0	2520.0	40.0	872.0	340.0	11480.0	296.0	272.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__[Clostridium]_scindens	780.0	0.0	24.0	64.0	0.0	884.0	0.0	0.0	44.0	92.0	0.0	58200.0	100.0	0.0	24.0	136.0	0.0	1308.0	84.0	0.0	0.0	80.0	8.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;__	24.0	4280.0	1540.0	0.0	352.0	0.0	252.0	4.0	484.0	0.0	30260.0	4684.0	16.0	2692.0	3304.0	308.0	32.0	0.0	132.0	880.0	40.0	92.0	0.0	17744.0
